outcome,n_cells,exact_order_or_tie_agreement,strict_reversal_rate,full_ties,subset_ties
risk,66,0.6818181818181818,0.2878787878787879,14,16
atom_fraction,66,0.9393939393939394,0.015151515151515152,21,20
precision,66,0.9090909090909091,0.06060606060606061,14,16
iou,66,0.9090909090909091,0.06060606060606061,14,16
selected_grid_fraction,66,0.9393939393939394,0.015151515151515152,21,20
