method,risk_pass_agreement,risk_pass_full,risk_pass_subset,efficiency_pass_agreement,efficiency_pass_full,efficiency_pass_subset
gradinput,0.7878787878787878,55,59,1.0,24,24
ig,0.8333333333333334,52,59,0.9848484848484849,39,38
