cell_id,model,seed,test_molecules,accuracy,balanced_accuracy,macro_ovr_auroc,macro_ap,majority_accuracy,epochs,best_epoch,seconds
liver__gin__seed42,gin,42,114,0.49122807017543857,0.49451559934318556,0.6492242911459651,0.4904991947014375,0.43859649122807015,30,15,1.7403500080108643
liver__gin__seed123,gin,123,114,0.38596491228070173,0.38555008210180625,0.5874142546586508,0.4678746675538216,0.43859649122807015,33,18,1.7327907085418701
liver__gin__seed2026,gin,2026,114,0.41228070175438597,0.4042692939244663,0.6189467405796888,0.4958230905591981,0.43859649122807015,32,17,1.7375116348266602
liver__gcn__seed42,gcn,42,114,0.3508771929824561,0.32065681444991795,0.5408231080516012,0.393885861572493,0.43859649122807015,45,30,2.1274960041046143
liver__gcn__seed123,gcn,123,114,0.4649122807017544,0.40101806239737275,0.5978196285061385,0.4401775735179658,0.43859649122807015,34,19,1.8996245861053467
liver__gcn__seed2026,gcn,2026,114,0.4298245614035088,0.39937602627257807,0.5776406138623061,0.40706827089089087,0.43859649122807015,55,40,2.3290164470672607
