target,policy,method,label,test_molecules,calibration_rule,risk,mean_atom_fraction,equal_size_random_risk,risk_minus_random,precision,iou,tie_inflation
hepatotoxic_class,include_all_exact_ties_v2,atom_occlusion,0,4,shared_all_nonempty_references,0.017857142857142853,0.9046961152882206,0.09530388471177946,-0.0774467418546366,0.3362612137405178,0.32820200321420206,0.0
hepatotoxic_class,include_all_exact_ties_v2,atom_occlusion,1,15,shared_all_nonempty_references,0.05022045855379188,0.8953276525158969,0.10467234748410337,-0.05445188893031149,0.18298351044860495,0.1808100061589905,0.003291281158928218
hepatotoxic_class,include_all_exact_ties_v2,atom_occlusion,2,12,shared_all_nonempty_references,0.06460283543616877,0.8936116297162563,0.1063883702837438,-0.04178553484757502,0.3923731080760538,0.379880872156944,0.0
hepatotoxic_class,include_all_exact_ties_v2,gradinput,0,4,shared_all_nonempty_references,0.029761904761904767,0.8988627819548873,0.10113721804511279,-0.07137531328320802,0.33020096762903667,0.31655717677936346,0.010338345864661654
hepatotoxic_class,include_all_exact_ties_v2,gradinput,1,15,shared_all_nonempty_references,0.050264550264550276,0.8939325029589579,0.10606749704104217,-0.05580294677649188,0.18110155064763106,0.17818972389821106,0.006930918270787552
hepatotoxic_class,include_all_exact_ties_v2,gradinput,2,12,shared_all_nonempty_references,0.09775217066883735,0.8896334718821041,0.11036652811789578,-0.012614357449058462,0.3799549198175453,0.3632385137594731,0.0026115859449192783
hepatotoxic_class,include_all_exact_ties_v2,ig,0,4,shared_all_nonempty_references,0.00892857142857143,0.9367324561403509,0.06326754385964913,-0.0543389724310777,0.3324829866070275,0.32812138816648173,0.012421679197994986
hepatotoxic_class,include_all_exact_ties_v2,ig,1,15,shared_all_nonempty_references,0.06626984126984127,0.9120174199718986,0.08798258002810137,-0.021712738758260124,0.17509311270441458,0.1722237871596107,0.004965127465127465
hepatotoxic_class,include_all_exact_ties_v2,ig,2,12,shared_all_nonempty_references,0.06674382716049383,0.9159933951635989,0.08400660483640111,-0.01726277767590728,0.3847440399412836,0.37331639879069917,0.005379651212984546
hepatotoxic_class,include_all_exact_ties_v2,saliency,0,4,shared_all_nonempty_references,0.1369047619047619,0.9421491228070176,0.05785087719298245,0.07905388471177946,0.3195584384506177,0.3137448849590457,0.008552631578947367
