cell_id,model,seed,target,method,policy,alpha,selected_fraction,corrected_calibration_risk,fallback_full,n_calibration,n_test,risk,mean_atom_fraction,precision,iou,tie_inflation,equal_size_random_risk,reference_first_schedule_risk,fixed_20_risk,fixed_20_mean_atom_fraction,fixed_20_precision,fixed_20_iou,fixed_50_risk,fixed_50_mean_atom_fraction,fixed_50_precision,fixed_50_iou
liver__gcn__seed123,gcn,123,observed_class,ig,include_all_exact_ties_v2,0.1,0.92,0.0989622017736204,False,33,31,0.126570562054433,0.9510583355263564,0.2632987993026511,0.2588372650967007,0.0038047973531844,0.0489416644736433,0.0,0.8150577021544765,0.2250459817923865,0.2646697388632872,0.1308608058608058,0.5654515735160895,0.5316596993436251,0.266087683663585,0.2061569543343237
liver__gcn__seed123,gcn,123,observed_class,ig,include_all_exact_ties_v2,0.2,0.86,0.1898432978017753,False,33,31,0.2321477805348773,0.8890424609658806,0.2637487319837889,0.2549564846301972,0.0025345622119815,0.1109575390341195,0.0,0.8150577021544765,0.2250459817923865,0.2646697388632872,0.1308608058608058,0.5654515735160895,0.5316596993436251,0.266087683663585,0.2061569543343237
liver__gcn__seed123,gcn,123,observed_class,saliency,index_tiebreak_v1,0.05,0.95,0.0499659366008846,False,33,31,0.0367285044704399,0.9738696534249016,0.2667238066745934,0.2620130313279664,0.0,0.0261303465750981,0.0,0.6985308598211826,0.2205405425670831,0.3076804915514592,0.1697162736062166,0.3747095198708102,0.5168316543735149,0.2920118043457702,0.2345318785812991
liver__gcn__seed123,gcn,123,observed_class,saliency,index_tiebreak_v1,0.1,0.91,0.0918786519132539,False,33,31,0.0495490172909527,0.939553010556796,0.2692376894572734,0.2626406134664926,0.0,0.0604469894432039,0.0,0.6985308598211826,0.2205405425670831,0.3076804915514592,0.1697162736062166,0.3747095198708102,0.5168316543735149,0.2920118043457702,0.2345318785812991
liver__gcn__seed123,gcn,123,observed_class,saliency,index_tiebreak_v1,0.2,0.78,0.1949538110870291,False,33,31,0.1331383670093347,0.8107047035470188,0.2755503650303149,0.2566869677059495,0.0,0.189295296452981,0.0,0.6985308598211826,0.2205405425670831,0.3076804915514592,0.1697162736062166,0.3747095198708102,0.5168316543735149,0.2920118043457702,0.2345318785812991
liver__gcn__seed123,gcn,123,observed_class,saliency,include_all_exact_ties_v2,0.05,0.95,0.0499659366008846,False,33,31,0.0321202095395643,0.9769488323105322,0.2672618085708296,0.2629699691270095,0.0030791788856304,0.0230511676894676,0.0,0.660896451219032,0.233805203270074,0.3195084485407065,0.1935513990542453,0.3693331757847887,0.5306752277764002,0.2917141629190964,0.2349939876297459
liver__gcn__seed123,gcn,123,observed_class,saliency,include_all_exact_ties_v2,0.1,0.9,0.0843165773096569,False,33,31,0.0616014809563196,0.9287774047889948,0.2686879332026781,0.2598256325051181,0.0034824046920821,0.0712225952110053,0.0,0.660896451219032,0.233805203270074,0.3195084485407065,0.1935513990542453,0.3693331757847887,0.5306752277764002,0.2917141629190964,0.2349939876297459
liver__gcn__seed123,gcn,123,observed_class,saliency,include_all_exact_ties_v2,0.2,0.78,0.1774001229451056,False,33,31,0.1331383670093347,0.8204063770857043,0.2725293716867409,0.2536659743623755,0.0097016735386854,0.1795936229142956,0.0,0.660896451219032,0.233805203270074,0.3195084485407065,0.1935513990542453,0.3693331757847887,0.5306752277764002,0.2917141629190964,0.2349939876297459
liver__gcn__seed123,gcn,123,observed_class,atom_occlusion,index_tiebreak_v1,0.05,0.95,0.0483903063487838,False,33,31,0.0535074244751664,0.9738696534249016,0.2702789741333004,0.2675698033675489,0.0,0.0261303465750981,0.0,0.8101638504864314,0.2205405425670831,0.2570660522273426,0.12421246457749,0.5738410335184526,0.5168316543735149,0.2533660283423091,0.1916172772709275
liver__gcn__seed123,gcn,123,observed_class,atom_occlusion,index_tiebreak_v1,0.1,0.89,0.0888917407083497,False,33,31,0.1388593485367678,0.9199599374467046,0.2693433396585548,0.2626410780158972,0.0,0.0800400625532955,0.0,0.8101638504864314,0.2205405425670831,0.2570660522273426,0.12421246457749,0.5738410335184526,0.5168316543735149,0.2533660283423091,0.1916172772709275
