target,policy,method,alpha,models,test_molecules,calibration_molecules,bootstrap_replicates,risk,risk_ci_low,risk_ci_high,mean_atom_fraction,mean_atom_fraction_ci_low,mean_atom_fraction_ci_high,equal_size_random_risk,equal_size_random_risk_ci_low,equal_size_random_risk_ci_high,risk_minus_random,risk_minus_random_ci_low,risk_minus_random_ci_high,precision,precision_ci_low,precision_ci_high,iou,iou_ci_low,iou_ci_high,tie_inflation,tie_inflation_ci_low,tie_inflation_ci_high,risk_pass_cells,efficiency_pass_cells,mean_selected_fraction
hepatotoxic_class,include_all_exact_ties_v2,atom_occlusion,0.1,6,31,33,2000,0.05161191854740242,0.03483468070161619,0.06881043463704752,0.8958722195318195,0.8906687434051178,0.9022240123120167,0.10412778046818043,0.09777598768798318,0.10933125659488212,-0.05251586192077804,-0.06954692224842829,-0.03518831216739626,0.2838153164065739,0.21960433777439153,0.3525462327494032,0.27688801842338695,0.21535693567331346,0.34290755435735837,0.0015925553994813957,0.00033602150537634406,0.002948860384818639,6,1,0.8666666666666667
hepatotoxic_class,include_all_exact_ties_v2,gradinput,0.1,6,31,33,2000,0.06600135229167488,0.04501231668570378,0.08745458170861396,0.8929045269286828,0.8861898482378389,0.9002597632422387,0.10709547307131718,0.09974023675776122,0.113810151762161,-0.041094120779642314,-0.06079600258464441,-0.021167165108005415,0.2773156828400372,0.21467308160868984,0.3440352468861275,0.26767537840981603,0.20887128170726435,0.32987260351844966,0.005698586737402943,0.002511434060253928,0.009379355509844207,6,0,0.8616666666666667
hepatotoxic_class,include_all_exact_ties_v2,ig,0.1,6,31,33,2000,0.05905444615122034,0.04149274784355429,0.07662500656452267,0.9167455440678409,0.9094232818754708,0.925229897841111,0.08325445593215906,0.07477010215888898,0.09057671812452901,-0.024200009780938708,-0.04179972676301964,-0.006846313184523466,0.2765566811706365,0.21268337159997175,0.3458788170538833,0.2701819079209186,0.20851304468503848,0.336894135609539,0.0060877239782163375,0.0028151910813201137,0.009854994267664044,5,0,0.8850000000000001
hepatotoxic_class,include_all_exact_ties_v2,saliency,0.1,6,31,33,2000,0.06906370212821826,0.04364734727637954,0.09795941812070844,0.9229720719201865,0.9162342054769516,0.9313837482280405,0.07702792807981343,0.06861625177195955,0.08376579452304843,-0.007964225951595159,-0.03515509662704059,0.02256174398127003,0.2780679057537692,0.21234288351970113,0.3496738361567358,0.2735734347206173,0.20948088382037514,0.34390962330935426,0.005919942930512348,0.003155625547635188,0.009043128298603487,5,0,0.8900000000000001
hepatotoxic_class,index_tiebreak_v1,atom_occlusion,0.1,6,31,33,2000,0.049957658828626565,0.03349847210734307,0.06704982965063606,0.901547141488089,0.8963603128069696,0.9082913901510264,0.09845285851191095,0.09170860984897329,0.10363968719303052,-0.048495199683284376,-0.0647201573268968,-0.03156603402222154,0.2825860639874802,0.21863271279148078,0.35135289146381704,0.276131889391951,0.2147676518371303,0.3418997673073966,0.0,0.0,0.0,6,1,0.8733333333333334
hepatotoxic_class,index_tiebreak_v1,gradinput,0.1,6,31,33,2000,0.06618515892709442,0.04546732016490082,0.08778736198091036,0.8894095165947297,0.8850699576685546,0.8942565291138614,0.11059048340527024,0.10574347088613839,0.11493004233144546,-0.04440532447817582,-0.06477768977033668,-0.023564820149391694,0.2780153964042478,0.21612551080787543,0.3445987274550328,0.2684254252896315,0.2090814216716455,0.3314611524468352,0.0,0.0,0.0,6,0,0.8633333333333333
hepatotoxic_class,index_tiebreak_v1,ig,0.1,6,31,33,2000,0.06206756206756207,0.042813529809497555,0.0824861406514632,0.9140295834683089,0.9088251129102819,0.920442530880159,0.08597041653169106,0.0795574691198409,0.09117488708971808,-0.023902854464128986,-0.04380204458699076,-0.0025917199620107763,0.2760507847140133,0.21240292173358302,0.3450723788652036,0.2695198099541069,0.2081411461062258,0.3363605871226332,0.0,0.0,0.0,6,0,0.8883333333333333
hepatotoxic_class,index_tiebreak_v1,saliency,0.1,6,31,33,2000,0.07678358081583887,0.04940250535008599,0.10766227500098462,0.9254645554890122,0.9200610715824945,0.9327572239422842,0.074535444510988,0.06724277605771595,0.07993892841750566,0.002248136304850899,-0.02642320779382528,0.03391539726198427,0.2755606528440761,0.21036371485919397,0.3464866564634964,0.27142706452715293,0.20800020274177716,0.3411623120104743,0.0,0.0,0.0,5,0,0.8966666666666666
observed_class,include_all_exact_ties_v2,atom_occlusion,0.1,6,31,33,2000,0.06852541126734674,0.04272515492273557,0.09775911812202133,0.9212499471872851,0.915731204634403,0.9283471386293579,0.07875005281271483,0.07165286137064195,0.08426879536559702,-0.010224641545368061,-0.035333962053562845,0.017401936697895335,0.2760522158523819,0.2113797278178606,0.3449100972022441,0.2704910563167202,0.20761766452893332,0.3368172825734145,0.0012544802867383513,0.00026881720430107527,0.0024193548387096775,5,0,0.8916666666666667
observed_class,include_all_exact_ties_v2,gradinput,0.1,6,31,33,2000,0.08573923090052121,0.05487358370422886,0.12372016424435776,0.9252534955435909,0.9190404835828961,0.9325632650504115,0.07474650445640908,0.06743673494958859,0.08095951641710382,0.010992726444112156,-0.018528641636664865,0.04644533038965413,0.26919520841892847,0.20740861210563308,0.336075737107004,0.26155295891885977,0.202592638198273,0.3252676216732501,0.0034007034749819125,0.0009788837011884552,0.006381149446196133,5,0,0.895
