cell_id,family,task,model,seed,method,score_origin,grid,alpha,q,n_calibration,n_test,calibration_risk,corrected_risk,risk,mean_atom_fraction,precision,iou
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,0.05,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,exact_integer,0.05,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,0.1,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,exact_integer,0.1,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,0.2,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,exact_integer,0.2,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,machine,0.05,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,exact_integer,0.05,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,machine,0.1,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,exact_integer,0.1,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,machine,0.2,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,P01_checkpoint_rerun,exact_integer,0.2,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,machine,0.05,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,exact_integer,0.05,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,machine,0.1,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,exact_integer,0.1,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,P20_frozen_cache,machine,0.2,1,119,109,0.0126050420168067,0.0208333333333333,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
