alpha,left,right,metric,strict_reversals,non_tied_both,machine_ties,exact_ties
0.05,ig,gradinput,risk,1,51,15,15
0.05,ig,gradinput,mean_atom_fraction,0,39,27,27
0.05,ig,gradinput,precision,0,51,15,15
0.05,ig,gradinput,iou,0,51,15,15
0.05,ig,atom_occlusion,risk,0,49,17,17
0.05,ig,atom_occlusion,mean_atom_fraction,0,41,25,25
0.05,ig,atom_occlusion,precision,0,49,17,17
0.05,ig,atom_occlusion,iou,0,49,17,17
0.05,ig,saliency,risk,1,66,0,0
0.05,ig,saliency,mean_atom_fraction,0,60,6,6
0.05,ig,saliency,precision,0,66,0,0
0.05,ig,saliency,iou,0,66,0,0
0.05,gradinput,atom_occlusion,risk,0,51,15,15
0.05,gradinput,atom_occlusion,mean_atom_fraction,0,43,23,23
0.05,gradinput,atom_occlusion,precision,0,51,15,15
0.05,gradinput,atom_occlusion,iou,0,51,15,15
0.05,gradinput,saliency,risk,0,66,0,0
0.05,gradinput,saliency,mean_atom_fraction,0,61,5,5
0.05,gradinput,saliency,precision,0,66,0,0
0.05,gradinput,saliency,iou,0,66,0,0
0.05,atom_occlusion,saliency,risk,0,66,0,0
0.05,atom_occlusion,saliency,mean_atom_fraction,0,60,6,6
0.05,atom_occlusion,saliency,precision,0,66,0,0
0.05,atom_occlusion,saliency,iou,0,66,0,0
0.1,ig,gradinput,risk,0,52,14,14
0.1,ig,gradinput,mean_atom_fraction,0,45,21,21
0.1,ig,gradinput,precision,0,52,14,14
0.1,ig,gradinput,iou,0,52,14,14
0.1,ig,atom_occlusion,risk,0,52,14,14
0.1,ig,atom_occlusion,mean_atom_fraction,0,44,22,22
0.1,ig,atom_occlusion,precision,0,52,14,14
0.1,ig,atom_occlusion,iou,0,52,14,14
0.1,ig,saliency,risk,2,66,0,0
0.1,ig,saliency,mean_atom_fraction,0,58,7,8
0.1,ig,saliency,precision,0,66,0,0
0.1,ig,saliency,iou,0,66,0,0
0.1,gradinput,atom_occlusion,risk,0,52,14,14
0.1,gradinput,atom_occlusion,mean_atom_fraction,0,43,23,23
0.1,gradinput,atom_occlusion,precision,0,52,14,14
0.1,gradinput,atom_occlusion,iou,0,52,14,14
0.1,gradinput,saliency,risk,0,66,0,0
0.1,gradinput,saliency,mean_atom_fraction,0,59,7,7
0.1,gradinput,saliency,precision,0,66,0,0
0.1,gradinput,saliency,iou,0,66,0,0
0.1,atom_occlusion,saliency,risk,1,66,0,0
0.1,atom_occlusion,saliency,mean_atom_fraction,0,59,7,7
0.1,atom_occlusion,saliency,precision,0,66,0,0
0.1,atom_occlusion,saliency,iou,0,66,0,0
0.2,ig,gradinput,risk,0,52,14,14
0.2,ig,gradinput,mean_atom_fraction,0,45,21,21
0.2,ig,gradinput,precision,0,52,14,14
0.2,ig,gradinput,iou,1,52,14,14
0.2,ig,atom_occlusion,risk,1,52,14,14
0.2,ig,atom_occlusion,mean_atom_fraction,0,47,19,19
0.2,ig,atom_occlusion,precision,0,52,14,14
0.2,ig,atom_occlusion,iou,0,52,14,14
0.2,ig,saliency,risk,0,66,0,0
0.2,ig,saliency,mean_atom_fraction,0,55,11,11
0.2,ig,saliency,precision,0,66,0,0
0.2,ig,saliency,iou,0,66,0,0
0.2,gradinput,atom_occlusion,risk,0,52,14,14
0.2,gradinput,atom_occlusion,mean_atom_fraction,0,45,21,21
0.2,gradinput,atom_occlusion,precision,0,52,14,14
0.2,gradinput,atom_occlusion,iou,0,52,14,14
0.2,gradinput,saliency,risk,1,66,0,0
0.2,gradinput,saliency,mean_atom_fraction,0,56,10,10
0.2,gradinput,saliency,precision,1,66,0,0
0.2,gradinput,saliency,iou,0,66,0,0
0.2,atom_occlusion,saliency,risk,0,66,0,0
0.2,atom_occlusion,saliency,mean_atom_fraction,0,54,12,12
0.2,atom_occlusion,saliency,precision,1,66,0,0
0.2,atom_occlusion,saliency,iou,0,66,0,0
