cell_id,family,task,model,seed,method,score_origin,alpha,q,risk,mean_atom_fraction,precision,iou
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,P20_historical,0.05,24,0.0275229357798165,0.2594518041916703,0.1520280550434354,0.1520280550434354
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,P20_historical,0.1,7,0.073394495412844,0.0883642941029018,0.4137723896898209,0.4122433377020533
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,P20_historical,0.2,5,0.1177370030581039,0.0690404773475921,0.4945718654434251,0.4869266055045871
bxaic__B__gin__seed123,bxaic,B,gin,123,ig,P01_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed123,bxaic,B,gin,123,ig,P01_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed123,bxaic,B,gin,123,ig,P01_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed123,bxaic,B,gin,123,gradinput,P01_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed123,bxaic,B,gin,123,gradinput,P01_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed123,bxaic,B,gin,123,gradinput,P01_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,P20_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,P20_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,P20_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,P20_historical,0.05,7,0.036697247706422,0.0883642941029018,0.4382372214941023,0.4382372214941023
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,P20_historical,0.1,1,0.0795107033639143,0.0386003571497199,0.9357798165137616,0.91131498470948
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,P20_historical,0.2,1,0.0795107033639143,0.0386003571497199,0.9357798165137616,0.91131498470948
bxaic__B__gin__seed2026,bxaic,B,gin,2026,ig,P01_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed2026,bxaic,B,gin,2026,ig,P01_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed2026,bxaic,B,gin,2026,ig,P01_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed2026,bxaic,B,gin,2026,gradinput,P01_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed2026,bxaic,B,gin,2026,gradinput,P01_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed2026,bxaic,B,gin,2026,gradinput,P01_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,P20_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,P20_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,P20_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,P20_historical,0.05,7,0.0275229357798165,0.0883642941029018,0.4474115334207078,0.4474115334207078
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,P20_historical,0.1,1,0.0565749235474006,0.0386003571497199,0.963302752293578,0.934250764525994
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,P20_historical,0.2,1,0.0565749235474006,0.0386003571497199,0.963302752293578,0.934250764525994
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,P01_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,P01_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,P01_historical,0.2,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,P01_historical,0.05,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,P01_historical,0.1,1,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104
