cell_id,family,task,model,seed,method,score_origin,grid,split,q,nominal_fraction,n,risk,mean_atom_fraction,precision,iou
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,30,0.3,119,0.0,0.318993678568112,0.1220251063107554,0.1220251063107554
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,31,0.31,119,0.0,0.3312857443507469,0.1171095175203468,0.1171095175203468
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,32,0.32,119,0.0,0.3385097065888093,0.1148408795138859,0.1148408795138859
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,33,0.33,119,0.0,0.3454594674053168,0.1131978768093648,0.1131978768093648
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,34,0.34,119,0.0,0.3592789975404269,0.1085362986207483,0.1085362986207483
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,35,0.35,119,0.0,0.3693859736216425,0.1058833513068642,0.1058833513068642
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,36,0.36,119,0.0,0.3799776180186797,0.1025072471930954,0.1025072471930954
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,37,0.37,119,0.0,0.3902323536968956,0.0997003971509238,0.0997003971509238
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,38,0.38,119,0.0,0.398478706686136,0.097989743602017,0.097989743602017
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,39,0.39,119,0.0,0.4109295321952317,0.094846756432819,0.094846756432819
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,40,0.4,119,0.0,0.4164960117783682,0.0939144788655956,0.0939144788655956
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,41,0.41,119,0.0,0.4281542739686105,0.0911768737989834,0.0911768737989834
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,42,0.42,119,0.0,0.4396361697712639,0.0889060478075163,0.0889060478075163
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,43,0.43,119,0.0,0.4530796387269339,0.085855519884194,0.085855519884194
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,44,0.44,119,0.0,0.4584432611055313,0.0851766282847155,0.0851766282847155
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,45,0.45,119,0.0,0.4664316915562153,0.0838941673335674,0.0838941673335674
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,46,0.46,119,0.0,0.4803536568756481,0.0813272650658585,0.0813272650658585
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,47,0.47,119,0.0,0.4896755583822471,0.0797007237732636,0.0797007237732636
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,48,0.48,119,0.0,0.4993444224376852,0.0782022579641221,0.0782022579641221
