method_schedule,actual_fraction_index,actual_nominal_fraction,actual_calibration_empirical_risk,actual_calibration_corrected_risk,actual_test_risk,actual_mean_retained_fraction,schedule_oracle_fraction_index,schedule_oracle_nominal_fraction,schedule_oracle_calibration_empirical_risk,schedule_oracle_calibration_corrected_risk,schedule_oracle_test_risk,schedule_oracle_mean_retained_fraction,schedule_oracle_mean_precision,schedule_oracle_mean_iou,capacity_excess_mean_retained_fraction,oracle_pointwise_dominates_actual_calibration,oracle_pointwise_dominates_actual_test,oracle_fraction_index_not_later_than_actual,random_to_exact_reference_return_size_gap_fraction_recovered,random_to_method_schedule_oracle_size_gap_fraction_recovered
gradcam,90,0.9,0.0947226893712934,0.09648736249142732,0.08885152110450824,0.9206774728504318,53,0.53,0.09107229573294792,0.09284408463015466,0.0842967503097903,0.5567140269957713,0.9388787117356212,0.8545819614258308,0.36396344585466045,True,True,True,-0.031300808571686906,-0.029043822547930077
vanilla_gradient,90,0.9,0.09322826565828891,0.09499585188507588,0.09208729032660559,0.9228802899957219,53,0.53,0.09450711577019213,0.0962722091117707,0.08452628423073047,0.5561031947155943,0.9395096692301376,0.8549833849994071,0.3667770952801276,True,True,True,-0.03801287632550337,-0.035211097447307244
random,89,0.89,0.08845219606406259,0.09022909236803127,0.09063056339595862,0.9104049368284359,53,0.53,0.095739742735241,0.09750243329521129,0.08712411037951019,0.5503459623216543,0.9445493414624496,0.8574252310829394,0.3600589745067816,True,True,True,0.0,0.0
