method,set_family,calibration_loss,test_risk,mean_atom_fraction,oracle_excess,saving_vs_random,within_cell_fraction_sd,union_iou
gradinput,global_index,alternative,0.07186233698334761,0.8976753398506052,0.6456208286244723,-0.022404203683141916,0.015455626700988732,0.3283038350951128
gradinput,global_index,union,0.07428756723913564,0.6913872342534474,0.406223871563033,0.22192783585228384,0.012226510699390512,0.4653214376627467
gradinput,minmax_threshold,alternative,0.07402252357571507,0.8829196614117943,0.5009141165857731,-0.0002726606981326152,0.0649070105625377,0.33917063601360675
gradinput,minmax_threshold,union,0.07486811928292031,0.6835606663098006,0.2979364334325477,0.23812246303592496,0.03819455143486788,0.5141152794652974
ig,global_index,alternative,0.0835140740612815,0.7770398874441794,0.5249853762180465,0.09823124872328387,0.013916276483208714,0.3622787602113693
ig,global_index,union,0.07885613735996116,0.6284438077940204,0.34328044510360606,0.2848712623117107,0.013035199443672645,0.48548707128183344
ig,minmax_threshold,alternative,0.0882070783826103,0.7829513081399425,0.3530561845387448,0.10252812705669906,0.11861082184805317,0.3647910281900031
ig,minmax_threshold,union,0.07747061936555255,0.6219306014574953,0.2593935771103849,0.2962247316323263,0.07666267597634085,0.5366797204138013
