comparison,cell_id,family,task,first,second,rank_spearman_mean,rank_undefined_count,own_set_jaccard_mean,own_set_jaccard_min,common_fraction_set_jaccard_mean,delta_fraction,delta_risk,delta_mean_atom_fraction,delta_oracle_excess
integration,bxaic__B__gin__seed42,bxaic,B,raw__zero__20,raw__zero__50,0.9870138713928909,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
integration,bxaic__B__gin__seed42,bxaic,B,raw__zero__50,raw__zero__100,0.9971396819660763,0,0.995,0.5,0.995,0.0,0.004999999999999999,-0.00014285714285713902,0.0
integration,bxaic__B__gin__seed42,bxaic,B,raw__zero__100,raw__zero__200,0.9986286580644718,0,0.995,0.5,0.995,0.0,-0.004999999999999999,0.00014285714285713902,0.0
integration,bxaic__B__gin__seed42,bxaic,B,raw__zero__20,raw__zero__200,0.9867371624983667,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
target,bxaic__B__gin__seed42,bxaic,B,raw__zero__20,margin__zero__20,0.9385151501244604,0,0.9925,0.25,0.9925,0.0,0.0,-6.250000000000006e-05,0.0
target,bxaic__B__gin__seed42,bxaic,B,raw__zero__200,margin__zero__200,0.9374769183048686,0,0.992,0.2,0.992,0.0,0.0,0.0,0.0
integration,bxaic__B__gin__seed42,bxaic,B,raw__fit_atom_mean__20,raw__fit_atom_mean__50,0.9959458346691578,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
integration,bxaic__B__gin__seed42,bxaic,B,raw__fit_atom_mean__50,raw__fit_atom_mean__100,0.9986682514989584,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
integration,bxaic__B__gin__seed42,bxaic,B,raw__fit_atom_mean__100,raw__fit_atom_mean__200,0.9990587768829036,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
integration,bxaic__B__gin__seed42,bxaic,B,raw__fit_atom_mean__20,raw__fit_atom_mean__200,0.9950820884852564,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
target,bxaic__B__gin__seed42,bxaic,B,raw__fit_atom_mean__20,margin__fit_atom_mean__20,0.9496827973741602,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
target,bxaic__B__gin__seed42,bxaic,B,raw__fit_atom_mean__200,margin__fit_atom_mean__200,0.9516447757844587,0,0.995,0.5,0.995,0.0,0.004999999999999999,-0.00014285714285713902,0.0
target,bxaic__B__gin__seed42,bxaic,B,raw__none__0,margin__none__0,0.9350484279520582,0,0.995,0.5,0.995,0.0,-0.004999999999999999,0.0002941176470588197,0.0
integration,bxaic__indole__gin__seed42,bxaic,indole,raw__zero__20,raw__zero__50,0.9607342918236751,0,0.8699986022634744,0.65,0.8780106079861046,-0.050000000000000044,-0.009230769230769223,-0.05140416819068139,-0.0515043328838693
integration,bxaic__indole__gin__seed42,bxaic,indole,raw__zero__50,raw__zero__100,0.9954224805703851,0,0.9730900370294623,0.8333333333333334,0.9730900370294623,0.0,-0.0052136752136752035,0.0013035120743453144,0.0016240248948580782
integration,bxaic__indole__gin__seed42,bxaic,indole,raw__zero__100,raw__zero__200,0.9974353311836773,0,0.9615678392621831,0.7777777777777778,0.9785351431802757,0.020000000000000018,-0.0011111111111111183,0.015748075431871067,0.015271884955680548
integration,bxaic__indole__gin__seed42,bxaic,indole,raw__zero__20,raw__zero__200,0.9606408342280717,0,0.8789386418773999,0.6346153846153846,0.8777226351176194,-0.030000000000000027,-0.015555555555555545,-0.034352580684465006,-0.03460842303333067
target,bxaic__indole__gin__seed42,bxaic,indole,raw__zero__20,margin__zero__20,0.8168389433597847,0,0.7908371300352915,0.627906976744186,0.8369342001611844,0.07999999999999996,-0.007051282051282054,0.07209944584633277,0.07189121931620368
