dataset,seed,method,proxy,n_calibration_pairs,n_calibration_components,max_pairs_per_calibration_component,minimum_components_alpha_0_10,component_crc_numerically_feasible,component_crc_fraction,component_calibration_empirical_risk,component_calibration_corrected_risk,pair_crc_descriptive_fraction,pair_calibration_empirical_risk,pair_calibration_corrected_risk,fallback_when_infeasible,guarantee
CHEMBL214_Ki,17,integrated_gradients,one_hop_expanded_symmetry_closed,47,15,10,9,True,0.9500000000000001,0.03945550936233686,0.0994895400271908,0.91,0.07574274058550119,0.09499810015663661,not_needed,none; clustered retrospective stress test
CHEMBL214_Ki,29,atom_occlusion,main_variable_plus_attachment_symmetry_closed,47,15,10,9,True,0.96,0.03558710577188557,0.09586291166114272,0.87,0.07780206405705097,0.09701452105586243,not_needed,none; clustered retrospective stress test
CHEMBL214_Ki,29,atom_occlusion,variable_only_symmetry_closed,47,15,10,9,True,0.97,0.021443469785575053,0.0826032529239766,0.86,0.07793451752300806,0.09714421507461207,not_needed,none; clustered retrospective stress test
CHEMBL214_Ki,29,atom_occlusion,one_hop_expanded_symmetry_closed,47,15,10,9,True,0.9500000000000001,0.03666138453661579,0.0968700480030773,0.87,0.07842431007984915,0.09762380361985228,not_needed,none; clustered retrospective stress test
CHEMBL214_Ki,29,integrated_gradients,main_variable_plus_attachment_symmetry_closed,47,15,10,9,True,0.97,0.028344610022951095,0.08907307189651666,0.9400000000000001,0.07165063250284909,0.09099124432570638,not_needed,none; clustered retrospective stress test
CHEMBL214_Ki,29,integrated_gradients,variable_only_symmetry_closed,47,15,10,9,True,0.97,0.03490798199621729,0.0952262331214537,0.9400000000000001,0.0712345884833672,0.09058386788996371,not_needed,none; clustered retrospective stress test
CHEMBL214_Ki,29,integrated_gradients,one_hop_expanded_symmetry_closed,47,15,10,9,True,0.97,0.025513762245096508,0.08641915210477798,0.9400000000000001,0.06812127916239888,0.0875354191798489,not_needed,none; clustered retrospective stress test
CHEMBL214_Ki,43,atom_occlusion,main_variable_plus_attachment_symmetry_closed,47,15,10,9,True,0.96,0.034874269690249864,0.09519462783460925,0.93,0.0727172099746227,0.09203560143348473,not_needed,none; clustered retrospective stress test
CHEMBL214_Ki,43,atom_occlusion,variable_only_symmetry_closed,47,15,10,9,True,0.96,0.037783013319483305,0.09792157498701559,0.9400000000000001,0.07281135937249457,0.09212778938556761,not_needed,none; clustered retrospective stress test
CHEMBL214_Ki,43,atom_occlusion,one_hop_expanded_symmetry_closed,47,15,10,9,True,0.96,0.033893728122410136,0.0942753701147595,0.93,0.0673561266440609,0.08678620733897628,not_needed,none; clustered retrospective stress test
