method,proxy,policy,aggregation,metric,target_macro_mean,bootstrap_ci_low,bootstrap_ci_high,n_targets
atom_occlusion,main_variable_plus_attachment_symmetry_closed,pair_crc_descriptive,pair_weighted,risk,0.07683342526083266,0.06803624881251963,0.0889907058187854,11
atom_occlusion,main_variable_plus_attachment_symmetry_closed,pair_crc_descriptive,pair_weighted,retained_fraction,0.9154022402574228,0.9012784754266732,0.9278079420034465,11
atom_occlusion,main_variable_plus_attachment_symmetry_closed,pair_crc_descriptive,pair_weighted,precision,0.24725937994141753,0.227264586612118,0.2678368447450751,11
atom_occlusion,main_variable_plus_attachment_symmetry_closed,pair_crc_descriptive,pair_weighted,iou,0.24209528126635912,0.22263630490434974,0.26207604849298316,11
atom_occlusion,main_variable_plus_attachment_symmetry_closed,random_same_nominal_size,component_weighted,risk,0.08701447750316399,0.07493482385575603,0.1001799528315465,11
atom_occlusion,main_variable_plus_attachment_symmetry_closed,random_same_nominal_size,component_weighted,retained_fraction,0.912985522496836,0.8998200471684534,0.9250651761442441,11
atom_occlusion,main_variable_plus_attachment_symmetry_closed,random_same_nominal_size,component_weighted,precision,0.24444974013975115,0.22082376897828132,0.2671121881803444,11
atom_occlusion,main_variable_plus_attachment_symmetry_closed,random_same_nominal_size,component_weighted,iou,0.2373591681843199,0.21545207842688993,0.2580480960938121,11
atom_occlusion,main_variable_plus_attachment_symmetry_closed,random_same_nominal_size,pair_weighted,risk,0.08711877453764688,0.07529258195300476,0.1010086991968995,11
atom_occlusion,main_variable_plus_attachment_symmetry_closed,random_same_nominal_size,pair_weighted,retained_fraction,0.912881225462353,0.8989913008031003,0.9247074180469953,11
atom_occlusion,main_variable_plus_attachment_symmetry_closed,random_same_nominal_size,pair_weighted,precision,0.24379505476550012,0.2264343429247865,0.26086150462677915,11
atom_occlusion,main_variable_plus_attachment_symmetry_closed,random_same_nominal_size,pair_weighted,iou,0.23695349132771862,0.22092197438661823,0.25267209816350894,11
atom_occlusion,one_hop_expanded_symmetry_closed,component_crc_cluster_stress_test,component_weighted,risk,0.01732152929541378,0.009362191049480703,0.024716637660021003,7
atom_occlusion,one_hop_expanded_symmetry_closed,component_crc_cluster_stress_test,component_weighted,retained_fraction,0.9774631932379555,0.9675300450902998,0.988258192904774,7
atom_occlusion,one_hop_expanded_symmetry_closed,component_crc_cluster_stress_test,component_weighted,precision,0.29066557535238946,0.26316353185543145,0.31964290060687983,7
atom_occlusion,one_hop_expanded_symmetry_closed,component_crc_cluster_stress_test,component_weighted,iou,0.28898598915266244,0.2623021378826959,0.31744965043264534,7
atom_occlusion,one_hop_expanded_symmetry_closed,component_crc_cluster_stress_test,pair_weighted,risk,0.01904127665261523,0.010464528382488403,0.026649143573404175,7
