cell_id,family,task,model,seed,method,origin,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,fresh_full_partition,0.86,86,0.09597199008963717,0.09645081848471825,1887,0.1,0.09294009921378629,0.8790617790681855,0.32240860529880455,0.3119040473346519,0.003151096296325109,0.875
bxaic__indole__gin__seed123,bxaic,indole,gin,123,atom_occlusion,fresh_full_partition,0.33,33,0.09506655977244212,0.09554586773866545,1887,0.1,0.0896103174933711,0.34449711648059667,0.7912435043886492,0.7154166980264253,0.0004914188397352755,0.34375
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,fresh_full_partition,0.55,55,0.09648064353946709,0.09695920252064466,1887,0.1,0.09243431251417175,0.5687356184484882,0.4899142062753349,0.46157659169371085,0.003079622513052916,0.5652173913043478
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,atom_occlusion,fresh_full_partition,0.37,37,0.09502889012692936,0.09550821804529559,1887,0.1,0.08906290249684945,0.38599339630464014,0.712812051227682,0.6517565207542889,0.00032602588678462053,0.38461538461538464
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,saliency,fresh_full_partition,0.63,63,0.09629425805896395,0.09677291576126475,1887,0.1,0.09681488576994804,0.6506592119252381,0.4287226394967265,0.40660262303645,0.003693953199839855,0.6470588235294118
bxaic__indole__gin__seed42,bxaic,indole,gin,42,atom_occlusion,fresh_full_partition,0.35000000000000003,35,0.09417637849010399,0.09465615795065056,1887,0.1,0.09174539215822379,0.36848148302725797,0.7407219836541978,0.6741570573326454,0.00068105010072321,0.36666666666666664
bxaic__indole__gin__seed42,bxaic,indole,gin,42,saliency,fresh_full_partition,0.56,56,0.09437854143736497,0.09485821382007951,1887,0.1,0.08656397068010498,0.5799489824505263,0.4851228311175595,0.46005820736897507,0.0027802691238992252,0.5769230769230769
bxaic__P__gcn__seed123,bxaic,P,gcn,123,atom_occlusion,fresh_full_partition,0.01,1,0.09369986267649444,0.09507721850829302,657,0.1,0.10143108397533993,0.036504550681165,0.9926854754440962,0.8912543914687563,0.0017495632200695286,0.03225806451612903
bxaic__P__gcn__seed123,bxaic,P,gcn,123,saliency,fresh_full_partition,0.03,3,0.09749263480125689,0.09886422654168052,657,0.1,0.09004757075243891,0.04886646058086248,0.7752761606209881,0.7319631771203778,0.0033344192795448954,0.045454545454545456
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,atom_occlusion,fresh_full_partition,0.01,1,0.09824917375279987,0.09961961573797795,657,0.1,0.09874303811008588,0.03666249035840277,0.9924242424242425,0.8936812043141565,0.001907502897307299,0.03225806451612903
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,saliency,fresh_full_partition,0.06,6,0.09806973848069739,0.09944045316385741,657,0.1,0.11719286460665772,0.08098645808722181,0.4738201203620482,0.4642291366331335,0.003720796005574233,0.07692307692307693
