cell_id,family,task,model,seed,method,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,median_atom_fraction,precision,iou
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,0.07,7,0.09,0.09900990099009901,100,0.1,0.065,0.088227123717233,0.08695652173913043,0.4110119047619049,0.40934523809523815
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,atom_occlusion,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,0.2,20,0.09,0.09900990099009901,100,0.1,0.08,0.2157163740311308,0.2113237639553429,0.16828224764366065,0.16828224764366065
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gcn__seed42,bxaic,B,gcn,42,atom_occlusion,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,0.08,8,0.08,0.0891089108910891,100,0.1,0.06,0.09827200537309151,0.09478885893980234,0.38396367521367525,0.3822970085470086
bxaic__B__gcn__seed42,bxaic,B,gcn,42,ig,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gcn__seed42,bxaic,B,gcn,42,gradinput,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gin__seed123,bxaic,B,gin,123,atom_occlusion,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gin__seed123,bxaic,B,gin,123,saliency,0.01,1,0.06,0.06930693069306931,100,0.1,0.07666666666666667,0.03878533891559978,0.037037037037037035,0.94,0.9133333333333334
bxaic__B__gin__seed123,bxaic,B,gin,123,ig,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gin__seed123,bxaic,B,gin,123,gradinput,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
