cell_id,family,task,model,seed,method,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,median_atom_fraction,precision,iou
bxaic__B__gin__seed2026,bxaic,B,gin,2026,atom_occlusion,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gin__seed2026,bxaic,B,gin,2026,saliency,0.01,1,0.06,0.06930693069306931,100,0.1,0.05666666666666667,0.03878533891559978,0.037037037037037035,0.96,0.9333333333333335
bxaic__B__gin__seed2026,bxaic,B,gin,2026,ig,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gin__seed2026,bxaic,B,gin,2026,gradinput,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gin__seed42,bxaic,B,gin,42,atom_occlusion,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gin__seed42,bxaic,B,gin,42,saliency,0.01,1,0.06,0.06930693069306931,100,0.1,0.105,0.03878533891559978,0.037037037037037035,0.9,0.885
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,0.01,1,0.01,0.019801980198019802,100,0.1,0.02666666666666667,0.03878533891559978,0.037037037037037035,0.99,0.9633333333333334
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,0.61,61,0.08290598290598292,0.09198612168909198,100,0.1,0.04166666666666667,0.627114936479031,0.625,0.45704552971597684,0.44517273816209757
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,0.87,87,0.07982905982905984,0.08893966319708892,100,0.1,0.07196581196581198,0.8870361362786398,0.8837209302325582,0.3135579149133999,0.3048686623606719
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,0.79,79,0.09040170940170941,0.09940763307099929,100,0.1,0.08717948717948719,0.8058775262206092,0.804078368652539,0.3431453624203774,0.3312824369687476
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,0.85,85,0.08967521367521371,0.09868833037149854,100,0.1,0.09200854700854702,0.8646578102443625,0.8636363636363636,0.31829677272516316,0.3073095571050787
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,0.5700000000000001,57,0.09068376068376068,0.09968689176609966,100,0.1,0.05918803418803419,0.5865030808876156,0.5851357570179475,0.4783294023372235,0.4604317185431712
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,0.74,74,0.08841880341880341,0.09744435982059742,100,0.1,0.07376068376068379,0.7566755075099121,0.7539722572509457,0.3668332840029997,0.3550646707648748
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,0.73,73,0.08641025641025644,0.09545569941609548,100,0.1,0.08722222222222221,0.7465769323412246,0.7441860465116279,0.36282902221333047,0.3471444227884083
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,0.87,87,0.09082905982905984,0.09983075230599966,100,0.1,0.10051282051282055,0.8870361362786398,0.8837209302325582,0.30738888578622936,0.29617272042707493
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,0.55,55,0.08823504273504273,0.09726241854954723,100,0.1,0.08371794871794873,0.5649667184462824,0.5625,0.47995009249411097,0.4549787828932635
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,0.87,87,0.08699572649572648,0.09603537276804598,100,0.1,0.07200854700854702,0.8870361362786398,0.8837209302325582,0.314144211764687,0.30530519274140816
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,0.68,68,0.09057264957264957,0.09957688076499954,100,0.1,0.09247863247863249,0.6962132090655782,0.6956521739130435,0.3868160276474918,0.36788542364195903
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,0.6900000000000001,69,0.0875811965811966,0.09661504611999654,100,0.1,0.0877777777777778,0.7059355362766441,0.7043108682452945,0.3904895599655868,0.37492582417289844
bxaic__indole__gin__seed123,bxaic,indole,gin,123,atom_occlusion,0.35000000000000003,35,0.08191452991452992,0.091004485063891,100,0.1,0.07051282051282053,0.3673562899899768,0.36363636363636365,0.7347425661526613,0.685752352934507
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,0.55,55,0.08852136752136751,0.09754590843699754,100,0.1,0.0938034188034188,0.5649667184462824,0.5625,0.4755825329742261,0.4474318153198488
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,0.58,58,0.08396153846153849,0.09303122619954303,100,0.1,0.08136752136752139,0.5950041255647353,0.59375,0.4582806400459509,0.4361087997743086
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,0.93,93,0.08778205128205128,0.09681391216044674,100,0.1,0.09094017094017094,0.9461477681560427,0.9444444444444444,0.2917814350492656,0.2836461832287072
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,atom_occlusion,0.41000000000000003,41,0.08528632478632478,0.09434289582804434,100,0.1,0.06487179487179487,0.4268167022833334,0.4274004683840749,0.6439056653731847,0.6086742817001575
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,saliency,0.63,63,0.09003418803418803,0.09904375052889901,100,0.1,0.08888888888888889,0.646890265645836,0.6451612903225806,0.420360108850561,0.4008908151658964
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,0.76,76,0.09078632478632478,0.09978844038249973,100,0.1,0.06615384615384617,0.7744529999490817,0.7727272727272727,0.3620539253460877,0.35017794219771425
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,0.97,97,0.05332051282051284,0.0626935770500127,100,0.1,0.04896011396011396,0.9903357517629351,1.0,0.2970084514401174,0.2953517280781827
bxaic__indole__gin__seed42,bxaic,indole,gin,42,atom_occlusion,0.4,40,0.0897051282051282,0.09871794871794871,100,0.1,0.065982905982906,0.41310256295373804,0.41025641025641024,0.6639061610192397,0.627294513164171
bxaic__indole__gin__seed42,bxaic,indole,gin,42,saliency,0.58,58,0.09038461538461542,0.09939070830159934,100,0.1,0.08470085470085469,0.5950041255647353,0.59375,0.4554695232180935,0.4328334552175789
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,0.67,67,0.08845299145299146,0.09747820935939742,100,0.1,0.10098290598290599,0.6877095136027702,0.6866071428571429,0.39464389867922295,0.37646193829385155
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,0.93,93,0.08526068376068377,0.09431750867394428,100,0.1,0.07384615384615387,0.9461477681560427,0.9444444444444444,0.2968989362254156,0.28996489896743927
bxaic__P__gcn__seed123,bxaic,P,gcn,123,atom_occlusion,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gcn__seed123,bxaic,P,gcn,123,saliency,0.04,4,0.08249299719887956,0.09157722494938571,100,0.1,0.08350980392156863,0.055257623773355115,0.050957481337228175,0.6511666666666666,0.617656862745098
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,atom_occlusion,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,saliency,0.07,7,0.085,0.09405940594059406,100,0.1,0.09533333333333333,0.08745679688822303,0.08571428571428572,0.42564957264957265,0.4233717948717948
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gcn__seed42,bxaic,P,gcn,42,atom_occlusion,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gcn__seed42,bxaic,P,gcn,42,saliency,0.04,4,0.055826330532212885,0.0651745846853593,100,0.1,0.08350980392156863,0.055257623773355115,0.050957481337228175,0.6569999999999999,0.6234901960784314
bxaic__P__gcn__seed42,bxaic,P,gcn,42,ig,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gcn__seed42,bxaic,P,gcn,42,gradinput,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gin__seed123,bxaic,P,gin,123,atom_occlusion,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gin__seed123,bxaic,P,gin,123,saliency,0.05,5,0.06571428571428573,0.07496463932107496,100,0.1,0.055,0.06707591441228643,0.06539558089807555,0.5492807017543859,0.5316140350877192
bxaic__P__gin__seed123,bxaic,P,gin,123,ig,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gin__seed123,bxaic,P,gin,123,gradinput,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gin__seed2026,bxaic,P,gin,2026,atom_occlusion,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gin__seed2026,bxaic,P,gin,2026,saliency,0.03,3,0.06123121976063153,0.07052596015904111,100,0.1,0.07536274509803921,0.04520388166578497,0.043478260869565216,0.79,0.7346372549019609
bxaic__P__gin__seed2026,bxaic,P,gin,2026,ig,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gin__seed2026,bxaic,P,gin,2026,gradinput,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gin__seed42,bxaic,P,gin,42,atom_occlusion,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gin__seed42,bxaic,P,gin,42,saliency,0.03,3,0.05408836261777438,0.06345382437403405,100,0.1,0.07202941176470588,0.04520388166578497,0.043478260869565216,0.79,0.7379705882352942
bxaic__P__gin__seed42,bxaic,P,gin,42,ig,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__P__gin__seed42,bxaic,P,gin,42,gradinput,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.043478260869565216,0.81,0.7479705882352942
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,atom_occlusion,0.85,85,0.08914703814703814,0.09816538430399815,100,0.1,0.07861466165413533,0.8662478624341222,0.8648648648648649,0.33585863175669156,0.3255708166927911
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,saliency,0.86,86,0.08650496970349911,0.0955494749539595,100,0.1,0.06879559694691274,0.8798495311356647,0.8787878787878788,0.33267525002922793,0.3230911349061633
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,ig,0.87,87,0.08722064047064046,0.09625805987192125,100,0.1,0.08498046251993621,0.8874475247500595,0.8846153846153846,0.3251924209197897,0.3143420502525286
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,gradinput,0.89,89,0.08489645893322363,0.09395689003289466,100,0.1,0.0954034802916382,0.9086314899912651,0.90625,0.3161506394644306,0.3057527416028834
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,atom_occlusion,0.85,85,0.08729867354867354,0.09633532034522128,100,0.1,0.07562009189640768,0.8662478624341222,0.8648648648648649,0.3372791168808721,0.32795053600013735
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,saliency,0.87,87,0.0795334746952394,0.08864700464875187,100,0.1,0.05916520467836257,0.8874475247500595,0.8846153846153846,0.33489397323565817,0.3274298354358647
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,ig,0.86,86,0.08497001092589328,0.09402971378801313,100,0.1,0.0693257196020354,0.8798495311356647,0.8787878787878788,0.33341122814331015,0.32406469254769754
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,gradinput,0.88,88,0.08994364785541256,0.09895410678753717,100,0.1,0.10651329080276449,0.8960120751160097,0.8932370820668694,0.3155151599942487,0.303692716016194
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,atom_occlusion,0.8200000000000001,82,0.08552930402930402,0.09458346933594455,100,0.1,0.08873226627173995,0.8378890179941392,0.8378378378378378,0.3421119306002126,0.3304119705730516
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,saliency,0.86,86,0.08770559424235894,0.09673821212114744,100,0.1,0.07107662147793728,0.8798495311356647,0.8787878787878788,0.3329913570209483,0.32405462069092267
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,ig,0.9,90,0.08355783105783106,0.09263151589884261,100,0.1,0.08851330978962556,0.9148543102339801,0.9130434782608695,0.315938163123814,0.3060302803301625
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,gradinput,0.9,90,0.0905318831495302,0.09953651796983184,100,0.1,0.08765903394850763,0.9148543102339801,0.9130434782608695,0.3157130951216236,0.30614306777283623
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,atom_occlusion,0.6900000000000001,69,0.08872588522588522,0.09774840121374774,100,0.1,0.07365436318067896,0.7073814558855185,0.7058823529411765,0.40809656009565687,0.3939227319894455
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,saliency,0.71,71,0.08742296837149778,0.09645838452623541,100,0.1,0.08433095048226626,0.7293443949763498,0.7297297297297297,0.38985040957764966,0.3713034800586965
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,ig,0.81,81,0.08796541775218243,0.09699546312097271,100,0.1,0.08011866788182578,0.8301686354408153,0.8285714285714286,0.34567294511561725,0.3328263758688505
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,gradinput,0.9400000000000001,94,0.07327379102379103,0.08244929804335746,100,0.1,0.09471426672742464,0.9558587845984021,0.9565217391304348,0.3100493411755004,0.3040761261789675
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,atom_occlusion,0.62,62,0.09001714380390849,0.09902687505337471,100,0.1,0.10778630287840815,0.6396484956141744,0.6388888888888888,0.4326898540498293,0.40836035376534846
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,saliency,0.74,74,0.07956243756243755,0.08867568075488866,100,0.1,0.07270813397129187,0.757421394510063,0.7567567567567568,0.3847662646816838,0.3721194610142572
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,ig,0.76,76,0.09015734918676095,0.09916569226411974,100,0.1,0.0876731032125769,0.7758113785221957,0.7741935483870968,0.36879935248816603,0.35329107911624874
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,gradinput,0.93,93,0.08949458303134775,0.0985094881498492,100,0.1,0.11501475279106858,0.9490784024427191,0.95,0.30524964705956337,0.29687445248739763
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,atom_occlusion,0.6,60,0.09049708624708624,0.09950206559117449,100,0.1,0.09008794714057872,0.6150398605177398,0.6153846153846154,0.4677176156547713,0.4484054043611745
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,saliency,0.7000000000000001,70,0.08859228679816912,0.09761612554274168,100,0.1,0.05433491873623453,0.7178367194943758,0.7142857142857143,0.4124317330248926,0.39926595191470304
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,ig,0.87,87,0.08596620046620046,0.09501604006554501,100,0.1,0.08219819434951015,0.8874475247500595,0.8846153846153846,0.3276276225847864,0.3177341105281731
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,gradinput,0.93,93,0.08330259446435917,0.09237880640035559,100,0.1,0.11227701830333409,0.9490784024427191,0.95,0.3053599082614717,0.2975028159045946
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,atom_occlusion,0.89,89,0.08704805289107558,0.09608718108027284,100,0.1,0.08599720501918039,0.9076411038403573,0.9047619047619048,0.6472813827623163,0.6140813646263523
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,saliency,0.89,89,0.08465462795332294,0.09371745341913161,100,0.1,0.08002894499509638,0.9076411038403573,0.9047619047619048,0.6465834448202501,0.6096034826274189
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,ig,0.87,87,0.08482273627241246,0.09388389729941829,100,0.1,0.07835778799239657,0.8872125704119393,0.8846153846153846,0.6639465105111847,0.6280991478157486
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,gradinput,0.89,89,0.08698088517026799,0.09602067838640393,100,0.1,0.07611338669970555,0.9076411038403573,0.9047619047619048,0.6507346266939288,0.6172162847584681
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,atom_occlusion,0.89,89,0.08835564766178877,0.09738182936810766,100,0.1,0.09682633962683522,0.9076411038403573,0.9047619047619048,0.6433093603751542,0.6089854649451479
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,saliency,0.79,79,0.08344387706441064,0.09251869016278277,100,0.1,0.07894655698372982,0.8064764227207614,0.8055555555555556,0.7227627738185304,0.6734735290591303
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,ig,0.89,89,0.08565330177392859,0.0947062393801273,100,0.1,0.08952419856366697,0.9076411038403573,0.9047619047619048,0.6406771657030906,0.601059362298521
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,gradinput,0.91,91,0.08642232411118911,0.09546764763484065,100,0.1,0.08718967594029184,0.9281710810469108,0.9240384615384616,0.6309787157219137,0.5963979317290792
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,atom_occlusion,0.89,89,0.08935622194541931,0.09837249697566265,100,0.1,0.08719874162294428,0.9076411038403573,0.9047619047619048,0.6459408196549065,0.6118758184650737
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,saliency,0.91,91,0.07586098572991391,0.08501087696031079,100,0.1,0.06689546363071369,0.9281710810469108,0.9240384615384616,0.6467222693209638,0.6213306249656304
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,ig,0.9,90,0.08777012193347321,0.09680210092423085,100,0.1,0.0900113660081809,0.9143819189606812,0.9130434782608695,0.6364108978841273,0.597458792765218
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,gradinput,0.89,89,0.0878702103837227,0.0969011983997254,100,0.1,0.08451350562250055,0.9076411038403573,0.9047619047619048,0.6447447319131805,0.6077280596706666
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,atom_occlusion,0.9,90,0.08959584914669044,0.09860975163038652,100,0.1,0.09818360199860063,0.9143819189606812,0.9130434782608695,0.6376329116479069,0.6036684013001069
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,saliency,0.78,78,0.09005640592416171,0.09906574843976408,100,0.1,0.10058882761259966,0.7973471814781139,0.7948717948717948,0.7156857645278382,0.6596759336824669
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,ig,0.9,90,0.0850995705886472,0.09415799068182885,100,0.1,0.08695225076245401,0.9143819189606812,0.9130434782608695,0.6433945155834238,0.6118966731117925
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,gradinput,0.9,90,0.0848861840679504,0.09394671689896075,100,0.1,0.08669594480820038,0.9143819189606812,0.9130434782608695,0.6436050115048825,0.611103943592209
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,atom_occlusion,0.91,91,0.0799371875439886,0.08904672034058271,100,0.1,0.08175953198885288,0.9281710810469108,0.9240384615384616,0.6392149110726708,0.61180799729936
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,saliency,0.74,74,0.08920534314382796,0.09822311202359203,100,0.1,0.10180456416636696,0.7574352148819574,0.7571662571662572,0.7492537977684494,0.684792457563343
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,ig,0.91,91,0.08011933156507983,0.08922706095552453,100,0.1,0.0802625716085908,0.9281710810469108,0.9240384615384616,0.6397141389689575,0.6123682387580272
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,gradinput,0.9,90,0.08834793900170407,0.09737419703139012,100,0.1,0.09909091372856388,0.9143819189606812,0.9130434782608695,0.6369054426003747,0.6016135246597344
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,atom_occlusion,0.91,91,0.07913822428052228,0.08825566760447745,100,0.1,0.07892619865551959,0.9281710810469108,0.9240384615384616,0.6406967951306419,0.6138799534999912
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,saliency,0.81,81,0.08912427041659912,0.0981428419966328,100,0.1,0.0928039906988605,0.8296037369165117,0.8268365817091454,0.699199707199209,0.6545307987304789
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,ig,0.91,91,0.07678055314189139,0.08592133974444689,100,0.1,0.07993990716922808,0.9281710810469108,0.9240384615384616,0.6406720458811379,0.6141663278931556
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,gradinput,0.89,89,0.08844729827059136,0.09747257254513995,100,0.1,0.09267910316255586,0.9076411038403573,0.9047619047619048,0.6408770401295497,0.6031891686500832
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,atom_occlusion,0.77,77,0.08067397645291065,0.08977621430981254,100,0.1,0.07770570365307207,0.7826963069354224,0.7795363908275175,0.3201619549094082,0.31127404428158223
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,saliency,0.86,86,0.0878206074255573,0.09685208655995772,100,0.1,0.08958254090823083,0.871714262889369,0.868421052631579,0.28518046701311517,0.2771140719042758
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,ig,0.91,91,0.08766257191726584,0.09669561575966919,100,0.1,0.0940909336128799,0.9220566775769332,0.9182000669120107,0.27045385212415035,0.26347236296519944
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,gradinput,0.9,90,0.08212773120336828,0.09121557544887945,100,0.1,0.09238674230671058,0.9112922978305771,0.9090909090909091,0.2733397988278019,0.26606965873665794
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,atom_occlusion,0.79,79,0.08434444588360294,0.09341034245901284,100,0.1,0.07157857615879687,0.8032404332913086,0.8,0.3168236647406338,0.31006338109531145
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,saliency,0.91,91,0.08849192654742515,0.09751675895784669,100,0.1,0.08772098674189657,0.9220566775769332,0.9182000669120107,0.2719202967224513,0.2653861663604178
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,ig,0.87,87,0.0818257479765224,0.09091658215497271,100,0.1,0.0904135980309439,0.8836369141311112,0.8814674397859055,0.28136490544646436,0.2735012832697522
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,gradinput,0.91,91,0.07783250972188739,0.0869628809127598,100,0.1,0.07447652919104303,0.9220566775769332,0.9182000669120107,0.2753794588192764,0.26947396744941454
