cell_id,family,task,model,seed,method,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__P__gcn__seed42,bxaic,P,gcn,42,atom_occlusion,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.0,0.043478260869565216
bxaic__P__gcn__seed42,bxaic,P,gcn,42,saliency,0.04,4,0.055826330532212885,0.0651745846853593,100,0.1,0.08350980392156863,0.055257623773355115,0.6569999999999999,0.6234901960784314,0.0,0.050957481337228175
bxaic__P__gin__seed123,bxaic,P,gin,123,atom_occlusion,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.0,0.043478260869565216
bxaic__P__gin__seed123,bxaic,P,gin,123,saliency,0.05,5,0.06571428571428573,0.07496463932107496,100,0.1,0.055,0.06707591441228643,0.5492807017543859,0.5316140350877192,0.0,0.06539558089807555
bxaic__P__gin__seed2026,bxaic,P,gin,2026,atom_occlusion,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.0,0.043478260869565216
bxaic__P__gin__seed2026,bxaic,P,gin,2026,saliency,0.03,3,0.06123121976063153,0.07052596015904111,100,0.1,0.07536274509803921,0.04520388166578497,0.79,0.7346372549019609,0.0,0.043478260869565216
bxaic__P__gin__seed42,bxaic,P,gin,42,atom_occlusion,0.03,3,0.049326457855869615,0.05873906718402933,100,0.1,0.06202941176470588,0.04520388166578497,0.81,0.7479705882352942,0.0,0.043478260869565216
bxaic__P__gin__seed42,bxaic,P,gin,42,saliency,0.03,3,0.05408836261777438,0.06345382437403405,100,0.1,0.07202941176470588,0.04520388166578497,0.79,0.7379705882352942,0.0,0.043478260869565216
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,atom_occlusion,0.85,85,0.08914703814703814,0.09816538430399815,100,0.1,0.07861466165413533,0.8662478624341222,0.33585863175669156,0.3255708166927911,0.0,0.8648648648648649
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,saliency,0.86,86,0.08650496970349911,0.0955494749539595,100,0.1,0.06879559694691274,0.8798495311356647,0.33267525002922793,0.3230911349061633,0.0,0.8787878787878788
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,atom_occlusion,0.85,85,0.08729867354867354,0.09633532034522128,100,0.1,0.07562009189640768,0.8662478624341222,0.3372791168808721,0.32795053600013735,0.0,0.8648648648648649
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,saliency,0.87,87,0.0795334746952394,0.08864700464875187,100,0.1,0.05916520467836257,0.8874475247500595,0.33489397323565817,0.3274298354358647,0.0,0.8846153846153846
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,atom_occlusion,0.8200000000000001,82,0.08552930402930402,0.09458346933594455,100,0.1,0.08873226627173995,0.8378890179941392,0.3421119306002126,0.3304119705730516,0.0,0.8378378378378378
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,saliency,0.86,86,0.08770559424235894,0.09673821212114744,100,0.1,0.07107662147793728,0.8798495311356647,0.3329913570209483,0.32405462069092267,0.0,0.8787878787878788
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,atom_occlusion,0.6900000000000001,69,0.08872588522588522,0.09774840121374774,100,0.1,0.07365436318067896,0.7073814558855185,0.40809656009565687,0.3939227319894455,0.0,0.7058823529411765
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,saliency,0.71,71,0.08742296837149778,0.09645838452623541,100,0.1,0.08433095048226626,0.7293443949763498,0.38985040957764966,0.3713034800586965,0.0,0.7297297297297297
