cell_id,family,task,model,seed,method,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
google__logic8__gcn__seed123,google,logic8,gcn,123,saliency,0.7000000000000001,70,0.08556526806526805,0.09461907729234463,100,0.1,0.11609668109668109,0.7244331221111338,0.37084297891650825,0.35495782738932896,0.0,0.72
google__logic8__gcn__seed2026,google,logic8,gcn,2026,atom_occlusion,0.66,66,0.0889136419136419,0.09793429892439794,100,0.1,0.09677164502164501,0.6802649174579181,0.4043756105006105,0.38799997989626467,0.0,0.68
google__logic8__gcn__seed2026,google,logic8,gcn,2026,saliency,0.67,67,0.08991783216783218,0.09892854670082395,100,0.1,0.11943398268398267,0.6981895206325212,0.38254951992451985,0.36648232838712713,0.0,0.6978260869565217
google__logic8__gcn__seed42,google,logic8,gcn,42,atom_occlusion,0.62,62,0.08744610944610944,0.0964812964812965,100,0.1,0.1029025974025974,0.6442758408661828,0.42076895326895325,0.40105295555837356,0.0,0.64
google__logic8__gcn__seed42,google,logic8,gcn,42,saliency,0.61,61,0.08967205017205016,0.09868519819014869,100,0.1,0.12324747474747473,0.6369986735890155,0.4166507659007659,0.39523365733853344,0.0,0.64
google__logic8__gin__seed123,google,logic8,gin,123,atom_occlusion,0.73,73,0.08853798978798977,0.09756236612672255,100,0.1,0.08519155844155843,0.7548557645014234,0.3675759553054444,0.35416747519766095,0.0,0.75
google__logic8__gin__seed123,google,logic8,gin,123,saliency,0.81,81,0.0794570707070707,0.08857135713571357,100,0.1,0.08879797979797979,0.8369654266987555,0.33458091392611516,0.3250708832286602,0.0,0.8333333333333334
google__logic8__gin__seed2026,google,logic8,gin,2026,atom_occlusion,0.79,79,0.08554123654123653,0.09459528370419457,100,0.1,0.07479401154401154,0.8083630457463745,0.3505913044643695,0.3408243512593357,0.0,0.8
google__logic8__gin__seed2026,google,logic8,gin,2026,saliency,0.84,84,0.09099722499722498,0.09999725247249999,100,0.1,0.09529797979797978,0.8612240939337654,0.3219389867098845,0.3114976824449835,0.0,0.8636363636363636
google__logic8__gin__seed42,google,logic8,gin,42,atom_occlusion,0.77,77,0.07985064935064934,0.08896103896103898,100,0.1,0.08575036075036076,0.7935664528147701,0.3551716892498626,0.34531240163196003,0.0,0.7916666666666666
google__logic8__gin__seed42,google,logic8,gin,42,saliency,0.93,93,0.07956757131757132,0.08868076368076373,100,0.1,0.08129004329004327,0.9548363202336617,0.29780409059203305,0.29097715130026347,0.0,0.9565217391304348
