cell_id,family,task,model,seed,method,policy,alpha,n_calibration,n_test,fraction,index,empirical_risk,corrected_risk,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__B__gcn__seed42,bxaic,B,gcn,42,atom_occlusion,index_tiebreak_v1,0.05,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gcn__seed42,bxaic,B,gcn,42,atom_occlusion,index_tiebreak_v1,0.1,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gcn__seed42,bxaic,B,gcn,42,atom_occlusion,index_tiebreak_v1,0.2,119,109,0.01,1,0.012605042016806723,0.020833333333333332,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.0,0.037037037037037035
bxaic__B__gcn__seed42,bxaic,B,gcn,42,atom_occlusion,include_all_exact_ties_v2,0.05,119,109,0.01,1,0.008403361344537815,0.016666666666666666,0.015290519877675842,0.03946616590813533,0.9892966360856269,0.974006116207951,0.0008658087584153424,0.037037037037037035
bxaic__B__gcn__seed42,bxaic,B,gcn,42,atom_occlusion,include_all_exact_ties_v2,0.1,119,109,0.01,1,0.008403361344537815,0.016666666666666666,0.015290519877675842,0.03946616590813533,0.9892966360856269,0.974006116207951,0.0008658087584153424,0.037037037037037035
bxaic__B__gcn__seed42,bxaic,B,gcn,42,atom_occlusion,include_all_exact_ties_v2,0.2,119,109,0.01,1,0.008403361344537815,0.016666666666666666,0.015290519877675842,0.03946616590813533,0.9892966360856269,0.974006116207951,0.0008658087584153424,0.037037037037037035
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,index_tiebreak_v1,0.05,119,109,0.24,24,0.04201680672268908,0.05,0.027522935779816515,0.25945180419167035,0.1520280550434354,0.1520280550434354,0.0,0.2571428571428571
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,index_tiebreak_v1,0.1,119,109,0.07,7,0.09243697478991597,0.1,0.07339449541284404,0.08836429410290182,0.41377238968982094,0.41224333770205335,0.0,0.08695652173913043
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,index_tiebreak_v1,0.2,119,109,0.05,5,0.15966386554621848,0.16666666666666666,0.11773700305810399,0.06904047734759217,0.4945718654434251,0.4869266055045871,0.0,0.06818181818181818
bxaic__B__gcn__seed42,bxaic,B,gcn,42,saliency,include_all_exact_ties_v2,0.05,119,109,0.24,24,0.04201680672268908,0.05,0.027522935779816515,0.2654136169614063,0.14809711036100665,0.14809711036100665,0.005961812769735959,0.2608695652173913
