method,cells,macro_task_risk,macro_task_mean_atom_fraction,macro_task_precision,macro_task_iou,macro_task_random_atom_fraction,macro_task_saving_vs_random,risk_pass_cells,efficiency_pass_cells,joint_pass_cells
atom_occlusion,66,0.0874742674561725,0.49520406674709233,0.6225122463418623,0.5777684645046828,0.9079692713589055,0.4127652046118133,50,51,35
gradinput,66,0.08452200649757019,0.6533997577248901,0.5258043412799102,0.49315620395319537,0.9079692713589055,0.2545695136340156,55,24,15
ig,66,0.08720203061929076,0.5941288037688911,0.5505427377260171,0.5145966793097366,0.9079692713589055,0.3138404675900144,52,39,26
saliency,66,0.08786430878765242,0.6035772744123119,0.46459002306847946,0.44115077750399245,0.9079692713589055,0.30439199694659375,54,41,33
