method,family,macro_task_risk,macro_task_mean_atom_fraction,macro_task_precision,macro_task_iou,macro_task_random_atom_fraction,macro_task_saving_vs_random
atom_occlusion,bxaic,0.08533097599923502,0.4347147779637314,0.6684285870302933,0.619335466363221,0.9083264822599258,0.47361170429619437
atom_occlusion,google,0.09122502750581306,0.6010603221179739,0.5421586501371078,0.5050262112522411,0.9073441522821202,0.30628383016414634
gradinput,bxaic,0.08591738649962818,0.5419352775681625,0.6050562069911949,0.5635944016243031,0.9083264822599258,0.3663912046917633
gradinput,google,0.08208009149396871,0.8484625979991633,0.387113576285162,0.36988935802875694,0.9073441522821202,0.05888155428295689
ig,bxaic,0.08700228805804182,0.5008478973917393,0.6234538237769863,0.579041973906378,0.9083264822599258,0.4074785848681865
ig,google,0.08755158010147637,0.757370389928907,0.4229483371368211,0.4018174137656139,0.9073441522821202,0.1499737623532131
saliency,bxaic,0.0917795392100632,0.5015390015279989,0.4817591997713783,0.45868216465543704,0.9083264822599258,0.40678748073192683
saliency,google,0.08101265554843357,0.7821442519598594,0.43454396383840643,0.4104708499889644,0.9073441522821202,0.12519990032226083
