comparison_left_minus_right,metric,cells,observed_tasks,mean_difference,q025,q975,cell_min,cell_max,cell_positive,cell_negative,cell_tie
full_atom_occlusion_minus_historical_subset,risk,66,11,0.012734904500029492,0.003414606598480023,0.023742569395473295,-0.018747804128238912,0.05100625176423769,48,13,5
full_atom_occlusion_minus_same_run_subset,risk,66,11,0.012721130395346296,0.003401176846413907,0.023742225042856217,-0.018747804128238912,0.05100625176423769,48,13,5
same_run_subset_atom_occlusion_minus_historical_subset,risk,66,11,1.377410468319568e-05,0.0,4.1322314049587044e-05,0.0,0.0009090909090909149,1,0,65
tie_inclusive_minus_index_atom_occlusion,risk,66,11,-0.002004226223870157,-0.0043264282972612835,7.76975048229636e-05,-0.028281191994870253,0.017021276595744664,11,43,12
full_atom_occlusion_minus_historical_subset,mean_atom_fraction,66,11,-0.008083040204890297,-0.016431736957454254,-0.0008865828260929468,-0.05837221892388156,0.034434538609348864,16,45,5
full_atom_occlusion_minus_same_run_subset,mean_atom_fraction,66,11,-0.008083040204890297,-0.016431736957454254,-0.0008865828260929468,-0.05837221892388156,0.034434538609348864,16,45,5
same_run_subset_atom_occlusion_minus_historical_subset,mean_atom_fraction,66,11,0.0,0.0,0.0,0.0,0.0,0,0,66
tie_inclusive_minus_index_atom_occlusion,mean_atom_fraction,66,11,-0.00044194542902369175,-0.0017018023823234024,0.000683190647133807,-0.023814007940547666,0.004477859713479623,49,15,2
full_atom_occlusion_minus_historical_subset,precision,66,11,0.025030239825190002,0.004614908077691312,0.05331814030950143,-0.02429903893792762,0.15120689655172403,49,14,3
full_atom_occlusion_minus_same_run_subset,precision,66,11,0.02504539134034152,0.004633708378392809,0.05331859626216558,-0.02429903893792762,0.15120689655172403,49,14,3
same_run_subset_atom_occlusion_minus_historical_subset,precision,66,11,-1.5151515151515166e-05,-4.545454545454549e-05,0.0,-0.0010000000000000009,0.0,0,1,65
tie_inclusive_minus_index_atom_occlusion,precision,66,11,0.007492180781364584,-2.7211555926694535e-05,0.018088250842929227,-0.005468090850798135,0.07541280722978094,20,40,6
full_atom_occlusion_minus_historical_subset,iou,66,11,0.01383261871646377,-0.0003072165799992947,0.03385346968851195,-0.013827884287765713,0.10347140206894956,31,34,1
full_atom_occlusion_minus_same_run_subset,iou,66,11,0.013847770231615287,-0.00030631654011261956,0.03385384847639074,-0.013827884287765713,0.10347140206894956,31,34,1
same_run_subset_atom_occlusion_minus_historical_subset,iou,66,11,-1.5151515151514323e-05,-4.545454545454297e-05,0.0,-0.0009999999999999454,0.0,0,1,65
tie_inclusive_minus_index_atom_occlusion,iou,66,11,0.009589392438456539,0.0005367628875131737,0.021532678535038062,-0.001374875479734805,0.07467456012370965,36,28,2
full_saliency_minus_historical_subset,risk,66,11,0.008043222901172507,0.0006584717782129461,0.01592230400535716,-0.03109222661396574,0.05590830549087105,40,23,3
full_saliency_minus_same_run_subset,risk,66,11,0.008043222901172507,0.0006584717782129461,0.01592230400535716,-0.03109222661396574,0.05590830549087105,40,23,3
