comparison_left_minus_right,metric,cells,observed_tasks,mean_difference,q025,q975,cell_min,cell_max,cell_positive,cell_negative,cell_tie
same_run_subset_saliency_minus_historical_subset,risk,66,11,0.0,0.0,0.0,0.0,0.0,0,0,66
tie_inclusive_minus_index_saliency,risk,66,11,0.0007144136027202357,-0.0011825088407940482,0.002442081021627734,-0.02353198617720101,0.02291956537530944,28,29,9
full_saliency_minus_historical_subset,mean_atom_fraction,66,11,-0.007268595558836386,-0.014017214789808365,-0.000976182160470109,-0.04175244686206925,0.03414959380204419,20,44,2
full_saliency_minus_same_run_subset,mean_atom_fraction,66,11,-0.007268595558836386,-0.014017214789808365,-0.000976182160470109,-0.04175244686206925,0.03414959380204419,20,44,2
same_run_subset_saliency_minus_historical_subset,mean_atom_fraction,66,11,0.0,0.0,0.0,0.0,0.0,0,0,66
tie_inclusive_minus_index_saliency,mean_atom_fraction,66,11,-0.0008536084901875244,-0.0031356358965581722,0.0013348021979692063,-0.015172700168475162,0.009945317620907515,34,30,2
full_saliency_minus_historical_subset,precision,66,11,0.01192431044035787,0.003086920437140373,0.02235305883316028,-0.012062031499316173,0.15866771159874604,40,21,5
full_saliency_minus_same_run_subset,precision,66,11,0.01192431044035787,0.003086920437140373,0.02235305883316028,-0.012062031499316173,0.15866771159874604,40,21,5
same_run_subset_saliency_minus_historical_subset,precision,66,11,0.0,0.0,0.0,0.0,0.0,0,0,66
tie_inclusive_minus_index_saliency,precision,66,11,0.006414688257931026,-0.0010945638411720509,0.019019641514530762,-0.02782874617737008,0.16342737722048084,30,31,5
full_saliency_minus_historical_subset,iou,66,11,0.009702957939158886,0.002727587201287132,0.017550029384521524,-0.015204787129702413,0.10531048252871966,40,24,2
full_saliency_minus_same_run_subset,iou,66,11,0.009702957939158886,0.002727587201287132,0.017550029384521524,-0.015204787129702413,0.10531048252871966,40,24,2
same_run_subset_saliency_minus_historical_subset,iou,66,11,0.0,0.0,0.0,0.0,0.0,0,0,66
tie_inclusive_minus_index_saliency,iou,66,11,0.006678835337665792,-0.0006120634850093088,0.019251120409497686,-0.02629969418960243,0.1411608943948056,29,35,2
full_atom_occlusion_minus_full_ig,risk,66,11,0.0002722368368817309,-0.0026349761798494203,0.0026301446723202416,-0.019010391933953666,0.05934480676328502,25,27,14
full_atom_occlusion_minus_full_ig,mean_atom_fraction,66,11,-0.09892473702179892,-0.14759035161909947,-0.05169831564449962,-0.4110010723479933,0.145145919518877,4,40,22
full_atom_occlusion_minus_full_ig,precision,66,11,0.07196950861584514,0.030989068557007903,0.11599920740174226,-0.034990499672539366,0.332231491150494,44,8,14
full_atom_occlusion_minus_full_ig,iou,66,11,0.06317178519494636,0.027493160195947587,0.10085106018444122,-0.033411473170804784,0.2972513007087475,43,9,14
full_saliency_minus_full_ig,risk,66,11,0.0006622781683616675,-0.010052497547004617,0.012315990331400564,-0.07750759878419453,0.07186544342507645,28,38,0
full_saliency_minus_full_ig,mean_atom_fraction,66,11,0.009448470643420625,-0.048864598892640186,0.08339856816268516,-0.3201560804350273,0.41052003627028755,28,30,8
full_saliency_minus_full_ig,precision,66,11,-0.08595271465753766,-0.19833205350445757,0.011335228000815536,-0.80432106866384,0.28746168747028744,32,34,0
full_saliency_minus_full_ig,iou,66,11,-0.07344590180574402,-0.16774687343583325,0.009657626707026799,-0.7752690808962558,0.2389825026016153,33,33,0
full_atom_occlusion_minus_full_saliency,risk,66,11,-0.00039004133147993686,-0.012227754345563955,0.010429103486416564,-0.07186544342507645,0.06545086119554205,38,28,0
full_atom_occlusion_minus_full_saliency,mean_atom_fraction,66,11,-0.10837320766521953,-0.1891523954651513,-0.03892904280259399,-0.7067076521263533,0.15795870602619122,7,52,7
full_atom_occlusion_minus_full_saliency,precision,66,11,0.1579222232733828,0.07324497684269772,0.25366874787112975,-0.12005864626899587,0.80432106866384,59,7,0
full_atom_occlusion_minus_full_saliency,iou,66,11,0.13661768700069035,0.06561972924526153,0.21654925992206508,-0.09237583811273853,0.7752690808962558,56,10,0
