target,policy,method,alpha,models,n_calibration,n_test,bootstrap_replicates,same_point_cells,same_point_fraction,corrected_risk,corrected_risk_ci_low,corrected_risk_ci_high,naive_risk,naive_risk_ci_low,naive_risk_ci_high,delta_risk,delta_risk_ci_low,delta_risk_ci_high,corrected_mean_atom_fraction,corrected_mean_atom_fraction_ci_low,corrected_mean_atom_fraction_ci_high,naive_mean_atom_fraction,naive_mean_atom_fraction_ci_low,naive_mean_atom_fraction_ci_high,delta_mean_atom_fraction,delta_mean_atom_fraction_ci_low,delta_mean_atom_fraction_ci_high,corrected_precision,corrected_precision_ci_low,corrected_precision_ci_high,naive_precision,naive_precision_ci_low,naive_precision_ci_high,delta_precision,delta_precision_ci_low,delta_precision_ci_high,corrected_iou,corrected_iou_ci_low,corrected_iou_ci_high,naive_iou,naive_iou_ci_low,naive_iou_ci_high,delta_iou,delta_iou_ci_low,delta_iou_ci_high,corrected_full_molecule_fraction,corrected_full_molecule_fraction_ci_low,corrected_full_molecule_fraction_ci_high,naive_full_molecule_fraction,naive_full_molecule_fraction_ci_low,naive_full_molecule_fraction_ci_high,delta_full_molecule_fraction,delta_full_molecule_fraction_ci_low,delta_full_molecule_fraction_ci_high,mean_q_corrected,mean_q_naive,mean_delta_q,mean_lambda_corrected,mean_lambda_naive,mean_delta_lambda
hepatotoxic_class,index_tiebreak_v1,atom_occlusion,0.1,6,33,31,2000,0,0.0,0.049957658828626565,0.03349847210734307,0.06704982965063606,0.08435739887352789,0.05992420437984954,0.10990635708377643,-0.03439974004490134,-0.047875802512899295,-0.022715587130909716,0.901547141488089,0.8963603128069696,0.9082913901510264,0.8612368895289572,0.8563538053013672,0.867398160589328,0.04031025195913184,0.03654056149156782,0.043908985352048686,0.2825860639874802,0.21863271279148078,0.35135289146381704,0.2853989066607701,0.22001950417512028,0.3554530417560003,-0.002812842673289955,-0.006438737424202376,0.0007333449886701541,0.276131889391951,0.2147676518371303,0.3418997673073966,0.27551695143127813,0.21405645037567855,0.34043854373449917,0.0006149379606727858,-0.0037252864831066146,0.005089665431201065,0.04838709677419355,0.0,0.12365591397849462,0.02150537634408602,0.0,0.059139784946236555,0.026881720430107527,0.0,0.06989247311827958,87.33333333333333,83.5,3.8333333333333335,0.8733333333333334,0.835,0.03833333333333335
hepatotoxic_class,index_tiebreak_v1,gradinput,0.1,6,33,31,2000,0,0.0,0.06618515892709442,0.04546732016490082,0.08778736198091036,0.08110960127089159,0.056635050284243836,0.10609150780521745,-0.014924442343797181,-0.023386768548058868,-0.0073488190423674285,0.8894095165947297,0.8850699576685546,0.8942565291138614,0.8548734205458955,0.850575918367733,0.8600782311007884,0.03453609604883426,0.030442017781264888,0.03856071271699324,0.2780153964042478,0.21612551080787543,0.3445987274550328,0.28186975588040913,0.22008720234488177,0.347787660785335,-0.003854359476161343,-0.006160827025971816,-0.0016148968839467383,0.2684254252896315,0.2090814216716455,0.3314611524468352,0.2692789448510661,0.21177605130341753,0.3300996083500517,-0.0008535195614346527,-0.004245576898862386,0.0031677675705693246,0.026881720430107524,0.0,0.06989247311827956,0.01075268817204301,0.0,0.03225806451612903,0.016129032258064516,0.0,0.04301075268817204,86.33333333333333,83.0,3.3333333333333335,0.8633333333333333,0.83,0.03333333333333335
hepatotoxic_class,index_tiebreak_v1,ig,0.1,6,33,31,2000,0,0.0,0.06206756206756207,0.042813529809497555,0.0824861406514632,0.0791418855934985,0.05602623183268344,0.10393830333346461,-0.01707432352593643,-0.026616595769821578,-0.008339487573358543,0.9140295834683089,0.9088251129102819,0.920442530880159,0.8925520454818483,0.8871327727848021,0.8990762591893003,0.02147753798646079,0.018885773512583852,0.02408784605277402,0.2760507847140133,0.21240292173358302,0.3450723788652036,0.27722650309526903,0.21351539547404116,0.34663349132793114,-0.0011757183812557252,-0.0037593867674746875,0.00142905346863704,0.2695198099541069,0.2081411461062258,0.3363605871226332,0.26868816920394983,0.20761130052122587,0.3346940741856996,0.0008316407501571101,-0.0023429400418042297,0.004229444266211966,0.04838709677419355,0.0,0.12365591397849462,0.03763440860215053,0.0,0.09677419354838708,0.010752688172043012,0.0,0.02688172043010753,88.83333333333333,86.5,2.3333333333333335,0.8883333333333333,0.8650000000000001,0.023333333333333334
hepatotoxic_class,index_tiebreak_v1,saliency,0.1,6,33,31,2000,1,0.16666666666666666,0.07678358081583887,0.04940250535008599,0.10766227500098462,0.09464236480365512,0.06461225826145181,0.12868109712867773,-0.017858783987816245,-0.02779935864613284,-0.009544980109496245,0.9254645554890122,0.9200610715824945,0.9327572239422842,0.8956535695642031,0.8895494406082239,0.9032420199527552,0.02981098592480889,0.026524674073951364,0.03311912655822957,0.2755606528440761,0.21036371485919397,0.34648665646349647,0.2795838599695006,0.21267624410225905,0.3519487790527031,-0.004023207125424395,-0.007172642554437345,-0.0005046258986927142,0.27142706452715293,0.20800020274177716,0.3411623120104743,0.2732417723548489,0.20885283785145312,0.34309002319311854,-0.0018147078276959975,-0.004790911151814535,0.0015474517519563995,0.06451612903225806,0.0,0.15591397849462368,0.04838709677419355,0.0,0.12365591397849462,0.016129032258064516,0.0,0.03763440860215053,89.66666666666667,86.83333333333333,2.8333333333333335,0.8966666666666666,0.8683333333333335,0.02833333333333334
observed_class,index_tiebreak_v1,atom_occlusion,0.1,6,33,31,2000,0,0.0,0.06472783488912522,0.03942996967190515,0.09321002698018828,0.09221513253771317,0.06298577467932308,0.1235552306116822,-0.027487297648587965,-0.04050979262672811,-0.015649288733966156,0.9221990433039969,0.9164767780925502,0.9298289825329676,0.8849258824639412,0.8811418095099753,0.8893878099717725,0.037273160840055546,0.033303460836897836,0.04183803165652132,0.27666478848696957,0.2122848913689424,0.34505426347353335,0.27864250249805156,0.21312786490750152,0.34790160246044094,-0.0019777140110819654,-0.004910446140890347,0.0011093546103133553,0.2710631907801896,0.20855046854194176,0.33736211206628364,0.26955536159121624,0.20731465014280054,0.334543926032345,0.0015078291889733602,-0.0024136327087510056,0.00571173036692996,0.06451612903225806,0.0,0.15591397849462368,0.02150537634408602,0.0,0.059139784946236555,0.043010752688172046,0.0,0.10215053763440861,89.33333333333333,85.83333333333333,3.5,0.8933333333333334,0.8583333333333334,0.034999999999999996
observed_class,index_tiebreak_v1,gradinput,0.1,6,33,31,2000,0,0.0,0.08487763729699213,0.05500331508396024,0.12231740780127875,0.12606673493770265,0.09016827333359592,0.16619960087702018,-0.04118909764071054,-0.05907110362755524,-0.02489915252012026,0.9231362133380051,0.9186527084396161,0.9283698024770326,0.8812244275873794,0.8761860304303085,0.8877620479552044,0.04191178575062576,0.03863838621523312,0.04503000149006794,0.2698147203895129,0.20763789156780404,0.33678356051086866,0.27218694415215827,0.20826098868290335,0.34016311849342845,-0.002372223762645392,-0.00551597368234272,0.0008598874997080754,0.26216126828633934,0.20256830632777995,0.326405947143228,0.2608990516892567,0.20111347980466096,0.3242344799626753,0.00126221659708265,-0.002591346796006897,0.004946295479317433,0.09677419354838708,0.04301075268817204,0.16666666666666669,0.03763440860215053,0.0,0.09677419354838708,0.059139784946236555,0.026881720430107527,0.0913978494623656,89.66666666666667,85.33333333333333,4.333333333333333,0.8966666666666666,0.8533333333333334,0.043333333333333335
observed_class,index_tiebreak_v1,ig,0.1,6,33,31,2000,1,0.16666666666666666,0.08838965693804403,0.05465030787611432,0.12805984711226645,0.12363622041041396,0.08238964216786797,0.16779777495503298,-0.035246563472369936,-0.051944493678364644,-0.02079357694277051,0.932843947195427,0.9277921952710082,0.9394521751722836,0.8991081388282516,0.8945944885415251,0.9041012332720245,0.033735808367175234,0.030090438195416947,0.03774856200710969,0.2686938385680457,0.2058819942941676,0.33590456286289816,0.2702043768899133,0.2059829359010243,0.3382091508113717,-0.0015105383218675969,-0.005000507692429053,0.0013808750909257079,0.2620551884493614,0.20146084575976128,0.32643975340726256,0.26068662734171144,0.20019252026919784,0.32522310782722585,0.0013685611076498516,-0.002481721559619605,0.0050488404045299605,0.0967741935483871,0.026881720430107524,0.1881720430107527,0.059139784946236555,0.02150537634408602,0.1075268817204301,0.03763440860215053,0.005376344086021505,0.08064516129032258,90.66666666666667,87.33333333333333,3.3333333333333335,0.9066666666666667,0.8733333333333334,0.03333333333333335
observed_class,index_tiebreak_v1,saliency,0.1,6,33,31,2000,0,0.0,0.04200473958538475,0.025345663148082506,0.062320091049929686,0.06236460671944542,0.04149623524623525,0.08636269644334149,-0.02035986713406068,-0.029162974122651543,-0.012342738653222525,0.9441795372275623,0.9390078501530971,0.9509258850518086,0.926287225117852,0.9198696455396341,0.9348201139527976,0.017892312109710727,0.013823250073966484,0.021767370668115908,0.27625425373344037,0.2109972776997023,0.3462789195922681,0.2758851454079677,0.21069009816585646,0.3469228436701392,0.0003691083254725839,-0.0015331313718368056,0.002331802194852875,0.2735312329130522,0.20915820252661366,0.34270845176282877,0.27117230088210886,0.20802822115176875,0.3406130048652913,0.0023589320309433275,0.0002678698831349408,0.004762627091282129,0.11827956989247311,0.04301075268817204,0.21505376344086022,0.06989247311827958,0.0,0.16666666666666669,0.04838709677419355,0.02150537634408602,0.07526881720430106,91.66666666666667,89.83333333333333,1.8333333333333333,0.9166666666666669,0.8983333333333333,0.01833333333333335
