cell_id,target,method,policy,alpha,rule_corrected,q_corrected,lambda_corrected,empirical_calibration_risk_corrected,corrected_calibration_risk_corrected,fallback_full_corrected,n_calibration_corrected,n_test_corrected,risk_corrected,mean_atom_fraction_corrected,precision_corrected,iou_corrected,full_molecule_fraction_corrected,rule_naive,q_naive,lambda_naive,empirical_calibration_risk_naive,corrected_calibration_risk_naive,fallback_full_naive,n_calibration_naive,n_test_naive,risk_naive,mean_atom_fraction_naive,precision_naive,iou_naive,full_molecule_fraction_naive,same_point,delta_q,delta_lambda,delta_risk,delta_mean_atom_fraction,delta_precision,delta_iou,delta_full_molecule_fraction
liver__gcn__seed123,observed_class,gradinput,index_tiebreak_v1,0.2,corrected,88,0.88,0.16046654870184285,0.18515870903414158,False,33,31,0.2601618811296231,0.9067384790260051,0.2547663223773201,0.24623225942299945,0.03225806451612903,naive,88,0.88,0.16046654870184285,0.18515870903414158,False,33,31,0.2601618811296231,0.9067384790260051,0.2547663223773201,0.24623225942299945,0.03225806451612903,True,0,0.0,0.0,0.0,0.0,0.0,0.0
liver__gcn__seed123,observed_class,gradinput,include_all_exact_ties_v2,0.05,corrected,98,0.98,0.0,0.029411764705882353,False,33,31,0.0,1.0,0.2706459829621886,0.2706459829621886,1.0,naive,95,0.9500000000000001,0.04985667926844397,0.0778020710546662,False,33,31,0.08576548899129544,0.9738696534249016,0.268666070907494,0.2659569001417424,0.3548387096774194,False,3,0.029999999999999916,-0.08576548899129544,0.026130346575098384,0.0019799120546946103,0.004689082820446222,0.6451612903225806
liver__gcn__seed123,observed_class,gradinput,include_all_exact_ties_v2,0.1,corrected,95,0.9500000000000001,0.04985667926844397,0.0778020710546662,False,33,31,0.08576548899129544,0.9738696534249016,0.268666070907494,0.2659569001417424,0.3548387096774194,naive,91,0.91,0.09237995120348061,0.11907465852102529,False,33,31,0.1673067076292883,0.9442794668961555,0.2617248376450215,0.2571040337084217,0.0967741935483871,False,4,0.040000000000000036,-0.08154121863799285,0.02959018652874612,0.006941233262472479,0.008852866433320672,0.25806451612903225
liver__gcn__seed123,observed_class,gradinput,include_all_exact_ties_v2,0.2,corrected,88,0.88,0.1483453365806307,0.17339400315178863,False,33,31,0.23635235732009927,0.9140430307278403,0.2568115837535158,0.2493986553737757,0.06451612903225806,naive,85,0.85,0.19387301152007042,0.21758262882830362,False,33,31,0.30140021269053524,0.8762185336404604,0.25511969910577437,0.24305084334637259,0.0,False,3,0.030000000000000027,-0.06504785537043598,0.037824497087379894,0.0016918846477414484,0.006347812027403116,0.06451612903225806
liver__gcn__seed123,observed_class,ig,index_tiebreak_v1,0.05,corrected,98,0.98,0.0,0.029411764705882353,False,33,31,0.0,1.0,0.2706459829621886,0.2706459829621886,1.0,naive,95,0.9500000000000001,0.04985667926844397,0.0778020710546662,False,33,31,0.05598881405333018,0.9738696534249016,0.26920370531609616,0.2660783014598138,0.3548387096774194,False,3,0.029999999999999916,-0.05598881405333018,0.026130346575098384,0.0014422776460924491,0.0045676815023747985,0.6451612903225806
liver__gcn__seed123,observed_class,ig,index_tiebreak_v1,0.1,corrected,93,0.93,0.06787014728191199,0.09528573118538516,False,33,31,0.1176099885777305,0.9554825612409047,0.26506107333996753,0.26115745763760634,0.12903225806451613,naive,89,0.89,0.0989890284007931,0.12548935109488743,False,33,31,0.2079837724999016,0.9199599374467046,0.26187192551281735,0.2548523701606638,0.06451612903225806,False,4,0.040000000000000036,-0.0903737839221711,0.035522623794200126,0.003189147827150185,0.006305087476942528,0.06451612903225806
liver__gcn__seed123,observed_class,ig,index_tiebreak_v1,0.2,corrected,88,0.88,0.14478027419203893,0.16993379553933188,False,33,31,0.24024183701603063,0.9067384790260051,0.25937949738591654,0.2517083732336663,0.03225806451612903,naive,86,0.86,0.1943483531718826,0.21804398984329781,False,33,31,0.24520461617235814,0.886507898753899,0.26223977293163203,0.2523355168882617,0.03225806451612903,False,2,0.020000000000000018,-0.004962779156327507,0.020230580272106113,-0.002860275545715496,-0.0006271436545954301,0.0
liver__gcn__seed123,observed_class,ig,include_all_exact_ties_v2,0.05,corrected,98,0.98,0.0,0.029411764705882353,False,33,31,0.0,1.0,0.2706459829621886,0.2706459829621886,1.0,naive,95,0.9500000000000001,0.04985667926844397,0.0778020710546662,False,33,31,0.05598881405333018,0.9738696534249016,0.26920370531609616,0.2660783014598138,0.3548387096774194,False,3,0.029999999999999916,-0.05598881405333018,0.026130346575098384,0.0014422776460924491,0.0045676815023747985,0.6451612903225806
liver__gcn__seed123,observed_class,ig,include_all_exact_ties_v2,0.1,corrected,92,0.92,0.07165802606979077,0.09896220177362046,False,33,31,0.126570562054433,0.9510583355263564,0.2632987993026511,0.25883726509670074,0.12903225806451613,naive,89,0.89,0.09292842234018704,0.11960699815371095,False,33,31,0.20567962503446377,0.9237233783069196,0.2621306368071823,0.2561580537244119,0.0967741935483871,False,3,0.030000000000000027,-0.07910906298003076,0.027334957219436795,0.0011681624954688052,0.0026792113722888256,0.03225806451612903
liver__gcn__seed123,observed_class,ig,include_all_exact_ties_v2,0.2,corrected,86,0.86,0.16529309470485942,0.1898432978017753,False,33,31,0.23214778053487733,0.8890424609658806,0.26374873198378895,0.2549564846301972,0.03225806451612903,naive,85,0.85,0.18449986832339776,0.20848516631388606,False,33,31,0.2481980385206192,0.8752517116912604,0.2617869879101599,0.24929515388397683,0.0,False,1,0.010000000000000009,-0.01605025798574186,0.013790749274620206,0.001961744073629035,0.005661330746220383,0.03225806451612903
liver__gcn__seed123,observed_class,saliency,index_tiebreak_v1,0.05,corrected,95,0.9500000000000001,0.02117702558879029,0.04996593660088469,False,33,31,0.03672850447043995,0.9738696534249016,0.26672380667459344,0.2620130313279664,0.3548387096774194,naive,92,0.92,0.04487930370283311,0.0729710888880439,False,33,31,0.041691283626767495,0.9472535381731719,0.2698594525702707,0.2642543135812446,0.0967741935483871,False,3,0.030000000000000027,-0.004962779156327542,0.02661611525172969,-0.003135645895677275,-0.002241282253278243,0.25806451612903225
liver__gcn__seed123,observed_class,saliency,index_tiebreak_v1,0.1,corrected,91,0.91,0.06435982318335258,0.09187865191325398,False,33,31,0.04954901729095277,0.939553010556796,0.2692376894572734,0.26264061346649265,0.06451612903225806,naive,90,0.9,0.0760491142844084,0.10322414033486697,False,33,31,0.06160148095631966,0.9252950000969127,0.269187165153523,0.260324864455963,0.06451612903225806,False,1,0.010000000000000009,-0.012052463665366893,0.014258010459883286,5.052430375040995e-05,0.0023157490105296663,0.0
liver__gcn__seed123,observed_class,saliency,index_tiebreak_v1,0.2,corrected,78,0.78,0.17055847202906033,0.19495381108702914,False,33,31,0.13313836700933476,0.8107047035470187,0.27555036503031494,0.25668696770594945,0.0,naive,78,0.78,0.17055847202906033,0.19495381108702914,False,33,31,0.13313836700933476,0.8107047035470187,0.27555036503031494,0.25668696770594945,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0
liver__gcn__seed123,observed_class,saliency,include_all_exact_ties_v2,0.05,corrected,95,0.9500000000000001,0.02117702558879029,0.04996593660088469,False,33,31,0.03212020953956437,0.9769488323105321,0.26726180857082965,0.26296996912700954,0.41935483870967744,naive,91,0.91,0.04487930370283311,0.0729710888880439,False,33,31,0.0449407223600772,0.9446483184746844,0.2695068741492085,0.2633287340612346,0.16129032258064516,False,4,0.040000000000000036,-0.01282051282051283,0.032300513835847644,-0.0022450655783788354,-0.0003587649342250421,0.25806451612903225
liver__gcn__seed123,observed_class,saliency,include_all_exact_ties_v2,0.1,corrected,90,0.9,0.05656859480388893,0.08431657730965691,False,33,31,0.06160148095631966,0.9287774047889948,0.26868793320267814,0.25982563250511814,0.0967741935483871,naive,89,0.89,0.09745363568892981,0.12399911699219658,False,33,31,0.06160148095631966,0.9251401350080567,0.2696405226751917,0.26076837519359136,0.0967741935483871,False,1,0.010000000000000009,0.0,0.003637269780938146,-0.000952589472513532,-0.0009427426884732193,0.0
liver__gcn__seed123,observed_class,saliency,include_all_exact_ties_v2,0.2,corrected,78,0.78,0.15247285394344218,0.17740012294510565,False,33,31,0.13313836700933476,0.8204063770857042,0.27252937168674096,0.2536659743623755,0.03225806451612903,naive,77,0.77,0.18510688657747482,0.20907433108990203,False,33,31,0.14058253574382606,0.8078000602129985,0.2723249145373123,0.2519072599695854,0.03225806451612903,False,1,0.010000000000000009,-0.007444168734491302,0.012606316872705636,0.00020445714942868287,0.0017587143927900728,0.0
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.05,corrected,95,0.9500000000000001,0.01544011544011544,0.04439775910364146,False,33,31,0.008960573476702509,0.9738696534249016,0.27602671040947474,0.2750288376835442,0.3548387096774194,naive,92,0.92,0.0385040885040885,0.06678338001867413,False,33,31,0.01144196305486628,0.9472535381731719,0.2804578422224399,0.27886443599775007,0.0967741935483871,False,3,0.030000000000000027,-0.002481389578163771,0.02661611525172969,-0.004431131812965172,-0.003835598314205879,0.25806451612903225
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.1,corrected,90,0.9,0.07065897065897066,0.09799253034547152,False,33,31,0.03576351963448738,0.9252950000969127,0.2842112151775731,0.28148750753100427,0.06451612903225806,naive,86,0.86,0.09514472455648924,0.12175811501071016,False,33,31,0.07255110480916932,0.886507898753899,0.2864408626794466,0.2820015188398919,0.03225806451612903,False,4,0.040000000000000036,-0.03678758517468194,0.038787101343013664,-0.0022296475018734885,-0.0005140113088876186,0.03225806451612903
liver__gcn__seed2026,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.2,corrected,74,0.74,0.17462466727172601,0.19890041235196937,False,33,31,0.12113513726416951,0.7662330372259809,0.3080718458505577,0.2943177447375233,0.0,naive,71,0.71,0.18605223752282574,0.2099918775956838,False,33,31,0.1343692150143763,0.7387546854198604,0.3099602270958095,0.29429909860635795,0.0,False,3,0.030000000000000027,-0.013234077750206782,0.02747835180612046,-0.0018883812452518134,1.8646131165367397e-05,0.0
