method,set_family,calibration_loss,test_risk,mean_atom_fraction,oracle_excess,saving_vs_random,within_cell_fraction_sd,union_iou,oracle_retained,provenance
gradinput,global_index,union,0.0742875672391356,0.6913872342534474,0.406223871563033,0.2219278358522838,0.0122265106993905,0.4653214376627467,0.28516336269041437,P12/P13 cached-score set-family comparison; 11 seed42 GIN cells
gradinput,minmax_threshold,union,0.0748681192829203,0.6835606663098006,0.2979364334325477,0.2381224630359249,0.0381945514348678,0.5141152794652974,0.3856242328772529,P12/P13 cached-score set-family comparison; 11 seed42 GIN cells
ig,global_index,union,0.0788561373599611,0.6284438077940204,0.343280445103606,0.2848712623117107,0.0130351994436726,0.4854870712818334,0.2851633626904144,P12/P13 cached-score set-family comparison; 11 seed42 GIN cells
ig,minmax_threshold,union,0.0774706193655525,0.6219306014574953,0.2593935771103849,0.2962247316323263,0.0766626759763408,0.5366797204138013,0.36253702434711044,P12/P13 cached-score set-family comparison; 11 seed42 GIN cells
