dataset,seed,method,proxy,evaluation_split,stratum,policy,aggregation,n_pairs,n_components,nominal_fraction,risk,retained_fraction,precision,iou,calibration_unit,calibration_empirical_risk,calibration_corrected_risk
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,calibration,all,fixed_50_percent,component_weighted,59,13,0.5,0.37774681221712253,0.5037538879885226,0.293718390649437,0.2582584869556781,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,all,fixed_50_percent,pair_weighted,40,10,0.5,0.4995052623383918,0.5046996201457604,0.20682939849039284,0.17699357189330372,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,all,fixed_50_percent,component_weighted,40,10,0.5,0.48240205934852326,0.5039774738757201,0.24621173902373023,0.21693495638341426,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,correct_direction,fixed_50_percent,pair_weighted,11,5,0.5,0.44569646040234273,0.5044544142424261,0.21507003557743518,0.20041311012131546,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,correct_direction,fixed_50_percent,component_weighted,11,5,0.5,0.39860722066604415,0.5050489918987991,0.24236537655142304,0.2345450431047184,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,direction_error,fixed_50_percent,pair_weighted,29,9,0.5,0.5199154975555138,0.5047926292815079,0.20370363959530782,0.16811029877233374,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,direction_error,fixed_50_percent,component_weighted,29,9,0.5,0.5174512224503347,0.504091535304556,0.2263168220889071,0.18880598021865963,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,calibration,all,oracle_proxy,pair_weighted,59,13,0.93,0.0,0.21522221587897028,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,calibration,all,oracle_proxy,component_weighted,59,13,0.93,0.0,0.2269923873883458,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,all,oracle_proxy,pair_weighted,40,10,0.93,0.0,0.19889821512171652,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,all,oracle_proxy,component_weighted,40,10,0.93,0.0,0.22193170609043347,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,correct_direction,oracle_proxy,pair_weighted,11,5,0.93,0.0,0.17703280803248592,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,correct_direction,oracle_proxy,component_weighted,11,5,0.93,0.0,0.19349894189447597,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,direction_error,oracle_proxy,pair_weighted,29,9,0.93,0.0,0.20719199022452808,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,direction_error,oracle_proxy,component_weighted,29,9,0.93,0.0,0.22321854917334466,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,calibration,all,random_same_nominal_size,pair_weighted,59,13,0.93,0.06214427868496777,0.9378557213150321,0.21522221587897028,0.21180566063604564,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,calibration,all,random_same_nominal_size,component_weighted,59,13,0.93,0.06146215676670592,0.9385378432332941,0.2269923873883458,0.2233419205376503,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,all,random_same_nominal_size,pair_weighted,40,10,0.93,0.06250121363204098,0.9374987863679591,0.19889821512171652,0.1956956371621382,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,all,random_same_nominal_size,component_weighted,40,10,0.93,0.06171403020621794,0.9382859697937821,0.22193170609043347,0.2183456765352109,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,correct_direction,random_same_nominal_size,pair_weighted,11,5,0.93,0.06259255471595802,0.9374074452840421,0.17703280803248592,0.17485669401548246,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,correct_direction,random_same_nominal_size,component_weighted,11,5,0.93,0.0610566800888845,0.9389433199111157,0.19349894189447597,0.19099233323716058,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,direction_error,random_same_nominal_size,pair_weighted,29,9,0.93,0.06246656701400348,0.9375334329859963,0.20719199022452808,0.20360006387293866,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,direction_error,random_same_nominal_size,component_weighted,29,9,0.93,0.06249364563393172,0.9375063543660684,0.22321854917334466,0.21944650732954724,none,,
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,calibration,all,component_crc_cluster_stress_test,pair_weighted,59,13,0.93,0.07226215899275668,0.940199088700779,0.21408421496334243,0.21098011774869246,components,0.02846695273073719,0.0978621703928274
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,calibration,all,component_crc_cluster_stress_test,component_weighted,59,13,0.93,0.02846695273073719,0.94097721661216,0.2348628730579277,0.23367067530169178,components,0.02846695273073719,0.0978621703928274
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,all,component_crc_cluster_stress_test,pair_weighted,40,10,0.93,0.056699883192143266,0.9408455758269447,0.2000083834752898,0.19750943540701865,components,0.02846695273073719,0.0978621703928274
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,all,component_crc_cluster_stress_test,component_weighted,40,10,0.93,0.06836993862690458,0.9395816433918851,0.22065453701685,0.21750174354538016,components,0.02846695273073719,0.0978621703928274
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,correct_direction,component_crc_cluster_stress_test,pair_weighted,11,5,0.93,0.10727605727605728,0.9384769640006195,0.1737282774832203,0.17181193006016793,components,0.02846695273073719,0.0978621703928274
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,correct_direction,component_crc_cluster_stress_test,component_weighted,11,5,0.93,0.09489010989010989,0.9393354767738608,0.19084048926286565,0.1886641416406421,components,0.02846695273073719,0.0978621703928274
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,direction_error,component_crc_cluster_stress_test,pair_weighted,29,9,0.93,0.037515817160313804,0.9417440147955507,0.20997669954124715,0.2072567650213413,components,0.02846695273073719,0.0978621703928274
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,test,direction_error,component_crc_cluster_stress_test,component_weighted,29,9,0.93,0.06152996493244171,0.9391789563014689,0.22216520113343585,0.21870505759981562,components,0.02846695273073719,0.0978621703928274
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,matched_noncliff_control,descriptive_only,component_crc_cluster_stress_test,pair_weighted,40,12,0.93,0.10122842763961186,0.9421090665269933,0.19528877229351596,0.1932217015066128,components,0.02846695273073719,0.0978621703928274
CHEMBL204_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,matched_noncliff_control,descriptive_only,component_crc_cluster_stress_test,component_weighted,40,12,0.93,0.060780580985205605,0.9412207115238065,0.2179739249188386,0.21596351460185972,components,0.02846695273073719,0.0978621703928274
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,calibration,all,pair_crc_descriptive,pair_weighted,59,13,0.93,0.07577218300115399,0.940199088700779,0.18625653738635256,0.18392990956340674,pairs,0.07577218300115399,0.09117597995113474
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,calibration,all,pair_crc_descriptive,component_weighted,59,13,0.93,0.029356526830486056,0.94097721661216,0.20389656752941265,0.20293561562511928,pairs,0.07577218300115399,0.09117597995113474
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,all,pair_crc_descriptive,pair_weighted,40,10,0.93,0.04603243077787515,0.9408455758269447,0.17218627756498198,0.17010796799208655,pairs,0.07577218300115399,0.09117597995113474
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,all,pair_crc_descriptive,component_weighted,40,10,0.93,0.06612128584573221,0.9395816433918851,0.19088024902947065,0.18822343561856872,pairs,0.07577218300115399,0.09117597995113474
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,correct_direction,pair_crc_descriptive,pair_weighted,11,5,0.93,0.0677050222504768,0.9384769640006195,0.14923782946215616,0.14804199265681667,pairs,0.07577218300115399,0.09117597995113474
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,correct_direction,pair_crc_descriptive,component_weighted,11,5,0.93,0.07268842268842268,0.9393354767738608,0.16298861439194232,0.16144969800084566,pairs,0.07577218300115399,0.09117597995113474
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,direction_error,pair_crc_descriptive,pair_weighted,29,9,0.93,0.03781179263309522,0.9417440147955507,0.1808908613281228,0.17847782070546475,pairs,0.07577218300115399,0.09117597995113474
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,direction_error,pair_crc_descriptive,component_weighted,29,9,0.93,0.06473063225558608,0.9391789563014689,0.1925668357946671,0.18956625366622382,pairs,0.07577218300115399,0.09117597995113474
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,matched_noncliff_control,descriptive_only,pair_crc_descriptive,pair_weighted,40,12,0.93,0.12249960078284886,0.9421090665269933,0.16631463310251193,0.16464308527896226,pairs,0.07577218300115399,0.09117597995113474
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,matched_noncliff_control,descriptive_only,pair_crc_descriptive,component_weighted,40,12,0.93,0.07383636657933333,0.9412207115238065,0.1885726593519205,0.1868983796249254,pairs,0.07577218300115399,0.09117597995113474
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,calibration,all,fixed_20_percent,pair_weighted,59,13,0.2,0.8459597275077608,0.20708836109990766,0.11843581379119501,0.0692060711773816,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,calibration,all,fixed_20_percent,component_weighted,59,13,0.2,0.7899697681411827,0.2095731915920523,0.18105912691039253,0.10608977107434586,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,all,fixed_20_percent,pair_weighted,40,10,0.2,0.8525830459881469,0.2070492151771753,0.15947817909214965,0.09075273953862784,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,all,fixed_20_percent,component_weighted,40,10,0.2,0.8305545075541957,0.20751349152679502,0.20229096842699784,0.11171459958423294,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,correct_direction,fixed_20_percent,pair_weighted,11,5,0.2,0.8402548209366391,0.20901817904377262,0.1486800780918428,0.09133669360942087,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,correct_direction,fixed_20_percent,component_weighted,11,5,0.2,0.8789267676767677,0.20913367278073824,0.13784936196700903,0.07894466644466644,none,,
