dataset,feature,control_mean,cliff_mean,standardized_mean_difference,absolute_smd
CHEMBL204_Ki,core_heavy_atoms,29.925,30.05,-0.02329094919247964,0.02329094919247964
CHEMBL204_Ki,variable_total,12.125,12.125,0.0,0.0
CHEMBL204_Ki,atom_total,71.975,72.225,-0.03807953925020462,0.03807953925020462
CHEMBL204_Ki,atom_difference,0.975,1.175,-0.2099974760070431,0.2099974760070431
CHEMBL214_Ki,core_heavy_atoms,22.677419354838708,22.483870967741936,0.04209370808410073,0.04209370808410073
CHEMBL214_Ki,variable_total,10.903225806451612,11.67741935483871,-0.09851507888896247,0.09851507888896247
CHEMBL214_Ki,atom_total,56.25806451612903,56.645161290322584,-0.04190841580776814,0.04190841580776814
CHEMBL214_Ki,atom_difference,0.8387096774193549,0.9032258064516129,-0.072969701669062,0.072969701669062
CHEMBL228_Ki,core_heavy_atoms,23.794117647058822,24.0,-0.035826698873704405,0.035826698873704405
CHEMBL228_Ki,variable_total,15.117647058823529,13.970588235294118,0.14340781823805443,0.14340781823805443
CHEMBL228_Ki,atom_total,62.705882352941174,61.970588235294116,0.08381079225967114,0.08381079225967114
CHEMBL228_Ki,atom_difference,0.7647058823529411,0.7941176470588235,-0.03793381609722028,0.03793381609722028
CHEMBL233_Ki,core_heavy_atoms,27.865384615384617,27.692307692307693,0.030933612278279635,0.030933612278279635
CHEMBL233_Ki,variable_total,10.115384615384615,10.865384615384615,-0.11480182429955937,0.11480182429955937
CHEMBL233_Ki,atom_total,65.84615384615384,66.25,-0.037231970202271994,0.037231970202271994
CHEMBL233_Ki,atom_difference,1.1153846153846154,1.0961538461538463,0.018204310905745393,0.018204310905745393
CHEMBL234_Ki,core_heavy_atoms,21.02857142857143,20.542857142857144,0.11025664596213418,0.11025664596213418
CHEMBL234_Ki,variable_total,12.885714285714286,13.4,-0.07121853745844775,0.07121853745844775
CHEMBL234_Ki,atom_total,54.94285714285714,54.48571428571429,0.05200383638039275,0.05200383638039275
CHEMBL234_Ki,atom_difference,0.9428571428571428,1.0,-0.06541728379800807,0.06541728379800807
CHEMBL235_EC50,core_heavy_atoms,28.137931034482758,26.96551724137931,0.19596623162155033,0.19596623162155033
CHEMBL235_EC50,variable_total,9.758620689655173,11.586206896551724,-0.26778693380024077,0.26778693380024077
CHEMBL235_EC50,atom_total,66.03448275862068,65.51724137931035,0.05141199156132162,0.05141199156132162
CHEMBL235_EC50,atom_difference,1.0689655172413792,1.103448275862069,-0.04155986352831915,0.04155986352831915
CHEMBL236_Ki,core_heavy_atoms,24.09375,23.625,0.0860403958455276,0.0860403958455276
CHEMBL236_Ki,variable_total,11.5625,11.59375,-0.004504805266563359,0.004504805266563359
CHEMBL236_Ki,atom_total,59.75,58.84375,0.08776794875478378,0.08776794875478378
CHEMBL236_Ki,atom_difference,1.375,1.34375,0.03157798799456464,0.03157798799456464
CHEMBL237_Ki,core_heavy_atoms,25.767441860465116,25.53488372093023,0.03825465610043139,0.03825465610043139
CHEMBL237_Ki,variable_total,14.325581395348838,14.534883720930232,-0.02554734583040749,0.02554734583040749
CHEMBL237_Ki,atom_total,65.86046511627907,65.6046511627907,0.028072300941897815,0.028072300941897815
CHEMBL237_Ki,atom_difference,1.441860465116279,1.558139534883721,-0.10389965882079785,0.10389965882079785
CHEMBL244_Ki,core_heavy_atoms,28.39,26.97,0.22143013370561496,0.22143013370561496
CHEMBL244_Ki,variable_total,13.35,13.15,0.027978600315447494,0.027978600315447494
CHEMBL244_Ki,atom_total,70.13,67.09,0.26545512142054933,0.26545512142054933
CHEMBL244_Ki,atom_difference,1.13,1.27,-0.129609203301576,0.129609203301576
CHEMBL264_Ki,core_heavy_atoms,21.77777777777778,21.48148148148148,0.062373983623526884,0.062373983623526884
CHEMBL264_Ki,variable_total,12.074074074074074,11.962962962962964,0.016979195598839206,0.016979195598839206
CHEMBL264_Ki,atom_total,55.629629629629626,54.925925925925924,0.06718868021901553,0.06718868021901553
CHEMBL264_Ki,atom_difference,0.8148148148148148,0.8518518518518519,-0.04362440669637358,0.04362440669637358
CHEMBL4792_Ki,core_heavy_atoms,23.886363636363637,23.90909090909091,-0.007675227216751576,0.007675227216751576
CHEMBL4792_Ki,variable_total,16.431818181818183,16.568181818181817,-0.022824829892082465,0.022824829892082465
CHEMBL4792_Ki,atom_total,64.20454545454545,64.38636363636364,-0.05737629557521396,0.05737629557521396
CHEMBL4792_Ki,atom_difference,0.7045454545454546,0.75,-0.05996848995574365,0.05996848995574365
