split,molecules,nominal_fraction,mean_realized_retained_fraction,mean_index_truncated_realized_fraction,mean_tie_inflation
test,512,0.01,0.582217375843578,0.0384536847324759,0.543763691111102
val,512,0.01,0.592656006697049,0.03911851045623,0.553537496240819
