family,task,method,risk,mean_atom_fraction,precision,iou,random_atom_fraction,saving_vs_random
bxaic,B,atom_occlusion,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103,0.9037279719751973,0.8651276148254773
bxaic,B,gradinput,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103,0.9037279719751973,0.8651276148254773
bxaic,B,ig,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103,0.9037279719751973,0.8651276148254773
bxaic,B,saliency,0.07925586136595307,0.0785425822662749,0.6518937726684485,0.6396613567663078,0.9037279719751973,0.8251853897089223
bxaic,P,atom_occlusion,0.11028737228718782,0.0365457382575857,0.9606844305120165,0.8509195242645363,0.9171632160487384,0.8806174777911527
bxaic,P,gradinput,0.11080983832689524,0.0365457382575857,0.9601619644723091,0.8503970582248289,0.9171632160487384,0.8806174777911527
bxaic,P,ig,0.11028737228718782,0.0365457382575857,0.9606844305120165,0.8509195242645363,0.9171632160487384,0.8806174777911527
bxaic,P,saliency,0.09530372446309195,0.0562879581914299,0.6953561398293577,0.6471643392023275,0.9171632160487384,0.8608752578573085
bxaic,PAINS,atom_occlusion,0.09818342184994795,0.7252562288291204,0.4278792776035763,0.4061886670813985,0.9052511321724808,0.17999490334336013
bxaic,PAINS,gradinput,0.09332514839659684,0.9299237908557667,0.33836618512796385,0.3286706323963786,0.9052511321724808,-0.024672658683286067
bxaic,PAINS,ig,0.0960122306885009,0.8444382194936964,0.364451191577755,0.34841785921316365,0.9052511321724808,0.06081291267878428
bxaic,PAINS,saliency,0.09443511014377699,0.7816460026209405,0.39443210803836815,0.3758735086671987,0.9052511321724808,0.12360512955154009
bxaic,X,atom_occlusion,0.09220748540380004,0.0681479369393897,0.727333682932549,0.635303376834206,0.9087783882831856,0.8406304513437958
bxaic,X,gradinput,0.0911995085852279,0.06974262754188719,0.7132457660164073,0.6262632384775368,0.9087783882831856,0.8390357607412984
bxaic,X,ig,0.09219764210905246,0.0681479369393897,0.7274518024695205,0.6353132201289536,0.9087783882831856,0.8406304513437958
bxaic,X,saliency,0.08876036358318422,0.2270856516396423,0.22661722040019064,0.22038687453926364,0.9087783882831856,0.6816927366435431
bxaic,indole,atom_occlusion,0.09136658236888334,0.46607216725381306,0.6202926653510069,0.5724019871761302,0.90726752777742,0.44119536052360697
bxaic,indole,gradinput,0.09479930366277596,0.8846100844452383,0.32590718694441834,0.314970534978173,0.90726752777742,0.022657443332181854
bxaic,indole,ig,0.09528158326096421,0.6882862041782438,0.41203626894322626,0.3924011945697528,0.90726752777742,0.21898132359917621
bxaic,indole,saliency,0.09251293195865472,0.7081556359172505,0.408572401566831,0.38943761031365276,0.90726752777742,0.19911189186016945
bxaic,rings-count,atom_occlusion,0.09576849449569773,0.9076153829854192,0.6436545619953279,0.6086081160105126,0.9084471118578895,0.0008317288724704335
bxaic,rings-count,gradinput,0.09218875412382616,0.9109092918436019,0.6410392827060135,0.6039326691643954,0.9084471118578895,-0.0024621799857121834
bxaic,rings-count,ig,0.09476827571894307,0.9055041791155914,0.6437876896815564,0.6063982983609094,0.9084471118578895,0.0029429327422981996
bxaic,rings-count,saliency,0.09357558365257367,0.8308238542735705,0.6997309670785299,0.6510373879691072,0.9084471118578895,0.0776232575843192
bxaic,rings-max,atom_occlusion,0.08045148782154386,0.8007656343310717,0.3083298027441815,0.30015289286995267,0.907650027704569,0.10688439337349737
bxaic,rings-max,gradinput,0.09004716463449074,0.9232150528833377,0.26584737559785704,0.25915297782299834,0.907650027704569,-0.015565025178768717
bxaic,rings-max,ig,0.09141692457405999,0.9244126466079475,0.2649396951814342,0.25807002050151967,0.907650027704569,-0.0167626189033786
bxaic,rings-max,saliency,0.09861319930320744,0.8282313257868839,0.29571178881792226,0.28721407513020236,0.907650027704569,0.07941870191768519
google,benzene,atom_occlusion,0.10483552335404184,0.4534007418581634,0.7057683705831854,0.6348994381616787,0.9031661198214196,0.44976537796325605
google,benzene,gradinput,0.10055223874668316,0.6883534131066574,0.5176037721823319,0.4814335540540278,0.9031661198214196,0.21481270671476219
google,benzene,ig,0.09982601649268312,0.6160903116491825,0.5506357255196264,0.5118202989765697,0.9031661198214196,0.28707580817223705
google,benzene,saliency,0.09966828601087857,0.4921263099031405,0.6684771633845706,0.6087327962797531,0.9031661198214196,0.41103980991827904
google,logic10,atom_occlusion,0.10120578825935962,0.6343258669777992,0.6980758361765451,0.6466988768233033,0.9075577596515901,0.27323189267379094
google,logic10,gradinput,0.08625320611927749,0.8747707360027578,0.5214138316696026,0.4981153063798401,0.9075577596515901,0.03278702364883245
google,logic10,ig,0.09853045020455731,0.8018045505480561,0.5646969101728698,0.5317032480893534,0.9075577596515901,0.10575320910353414
google,logic10,saliency,0.0862513602468959,0.8608104980455855,0.5272801879028247,0.503591629403073,0.9075577596515901,0.046747261606004696
google,logic7,atom_occlusion,0.07294410672070241,0.591672253940829,0.3806020024297197,0.3680635382971398,0.9118845308602955,0.32021227691946663
google,logic7,gradinput,0.0615332657885849,0.8969627883434902,0.20814124005217774,0.20568874380976457,0.9118845308602955,0.014921742516805466
google,logic7,ig,0.07259371833839913,0.7256785571055123,0.257984850607834,0.2535543786638046,0.9118845308602955,0.1862059737547832
google,logic7,saliency,0.04172576832151296,0.9808316658742747,0.1931096215136369,0.19201795980898426,0.9118845308602955,-0.0689471350139792
google,logic8,atom_occlusion,0.08591469168914817,0.7248424256951037,0.3841883913589812,0.370442991726843,0.9067681987951755,0.18192577310007185
google,logic8,gradinput,0.0799816553213292,0.933763454543748,0.3012954612365356,0.294319827871395,0.9067681987951755,-0.02699525574857245
google,logic8,ig,0.07925613537026577,0.8859081404128776,0.3184758622469541,0.3101917293327279,0.9067681987951755,0.020860058382297885
google,logic8,saliency,0.09640520761444671,0.7948085340164367,0.34930888255259324,0.3375410144640471,0.9067681987951755,0.11195966477873871
