panel,family,method,tasks,cells,risk,mean_atom_fraction,precision,iou,random_atom_fraction,saving_vs_random,risk_pass_cells,size_pass_cells,joint_pass_cells,origin
eleven_tasks,all,atom_occlusion,11,66,0.08747426745617244,0.4952040667470923,0.6225122463418621,0.5777684645046828,0.9079692713589055,0.41276520461181326,50,51,35,fresh_full_partition
eleven_tasks,all,gradinput,11,66,0.08452200649757015,0.6533997577248901,0.5258043412799102,0.49315620395319537,0.9079692713589055,0.25456951363401553,55,24,15,historical_full_partition
eleven_tasks,all,ig,11,66,0.08720203061929072,0.5941288037688911,0.5505427377260171,0.5145966793097365,0.9079692713589055,0.3138404675900144,52,39,26,historical_full_partition
eleven_tasks,all,saliency,11,66,0.08786430878765239,0.6035772744123119,0.46459002306847935,0.44115077750399245,0.9079692713589055,0.30439199694659375,54,41,33,fresh_full_partition
eleven_tasks,bxaic,atom_occlusion,7,42,0.08533097599923498,0.43471477796373137,0.6684285870302933,0.619335466363221,0.9083264822599258,0.47361170429619437,36,30,24,fresh_full_partition
eleven_tasks,bxaic,gradinput,7,42,0.08591738649962813,0.5419352775681625,0.6050562069911948,0.5635944016243031,0.9083264822599258,0.3663912046917633,36,19,13,historical_full_partition
eleven_tasks,bxaic,ig,7,42,0.08700228805804179,0.5008478973917392,0.6234538237769863,0.579041973906378,0.9083264822599258,0.4074785848681865,35,25,19,historical_full_partition
eleven_tasks,bxaic,saliency,7,42,0.09177953921006314,0.5015390015279989,0.4817591997713783,0.45868216465543704,0.9083264822599258,0.40678748073192683,36,31,27,fresh_full_partition
eleven_tasks,google,atom_occlusion,4,24,0.091225027505813,0.6010603221179739,0.5421586501371078,0.5050262112522411,0.9073441522821202,0.30628383016414634,14,21,11,fresh_full_partition
eleven_tasks,google,gradinput,4,24,0.0820800914939687,0.8484625979991633,0.38711357628516196,0.3698893580287569,0.9073441522821202,0.05888155428295692,19,5,2,historical_full_partition
eleven_tasks,google,ig,4,24,0.08755158010147633,0.757370389928907,0.42294833713682106,0.4018174137656139,0.9073441522821202,0.14997376235321305,17,14,7,historical_full_partition
eleven_tasks,google,saliency,4,24,0.08101265554843354,0.7821442519598594,0.4345439638384064,0.4104708499889643,0.9073441522821202,0.1251999003222608,18,10,6,fresh_full_partition
eight_tasks,all,atom_occlusion,8,48,0.09133376206991561,0.662993837733915,0.5210988635303154,0.4884320635183698,0.907249051080105,0.24425521334619005,38,33,23,fresh_full_partition
eight_tasks,all,gradinput,8,48,0.08733509209919556,0.8803135765030747,0.3899517919396126,0.37328553080962157,0.907249051080105,0.026935474577030313,43,6,3,historical_full_partition
eight_tasks,all,ig,8,48,0.09096066683104669,0.7990153511388884,0.422126024241407,0.40156962846347516,0.907249051080105,0.10823369994121655,40,21,14,historical_full_partition
eight_tasks,all,saliency,8,48,0.08789843090649338,0.7846792283047603,0.44207789010690957,0.4181807477545023,0.907249051080105,0.12256982277534464,40,23,19,fresh_full_partition
eight_tasks,bxaic,atom_occlusion,4,24,0.09144249663401822,0.7249273533498561,0.5000390769235231,0.47183791578449846,0.9071539498780898,0.1822265965282337,24,12,12,fresh_full_partition
eight_tasks,bxaic,gradinput,4,24,0.09259009270442242,0.9121645550069861,0.3927900075940632,0.37668170359048636,0.9071539498780898,-0.005010605128896279,24,1,1,historical_full_partition
eight_tasks,bxaic,ig,4,24,0.09436975356061704,0.8406603123488697,0.421303711345993,0.40132184316133634,0.9071539498780898,0.06649363752922002,23,7,7,historical_full_partition
eight_tasks,bxaic,saliency,4,24,0.09478420626455321,0.7872142046496614,0.4496118163754128,0.42589064552004025,0.9071539498780898,0.11993974522842848,22,13,13,fresh_full_partition
eight_tasks,google,atom_occlusion,4,24,0.091225027505813,0.6010603221179739,0.5421586501371078,0.5050262112522411,0.9073441522821202,0.30628383016414634,14,21,11,fresh_full_partition
eight_tasks,google,gradinput,4,24,0.0820800914939687,0.8484625979991633,0.38711357628516196,0.3698893580287569,0.9073441522821202,0.05888155428295692,19,5,2,historical_full_partition
eight_tasks,google,ig,4,24,0.08755158010147633,0.757370389928907,0.42294833713682106,0.4018174137656139,0.9073441522821202,0.14997376235321305,17,14,7,historical_full_partition
eight_tasks,google,saliency,4,24,0.08101265554843354,0.7821442519598594,0.4345439638384064,0.4104708499889643,0.9073441522821202,0.1251999003222608,18,10,6,fresh_full_partition
