panel,family,method,reference,tasks,bootstrap_replicates,smaller_tasks,larger_tasks,equal_size_tasks,delta_risk,delta_risk_ci_low,delta_risk_ci_high,delta_mean_atom_fraction,delta_mean_atom_fraction_ci_low,delta_mean_atom_fraction_ci_high,delta_precision,delta_precision_ci_low,delta_precision_ci_high,delta_iou,delta_iou_ci_low,delta_iou_ci_high,delta_random_atom_fraction,delta_random_atom_fraction_ci_low,delta_random_atom_fraction_ci_high,delta_saving_vs_random,delta_saving_vs_random_ci_low,delta_saving_vs_random_ci_high
eleven_tasks,all,atom_occlusion,ig,11,5000,7,1,3,0.0002722368368817,-0.0025446218602873,0.0026454160008659,-0.0989247370217989,-0.1467265330120518,-0.0529064749612902,0.0719695086158451,0.0331280512983465,0.1153392052783724,0.0631717851949463,0.0302341285344743,0.1003092298181395,0.0,0.0,0.0,0.0989247370217989,0.0529064749612903,0.1467265330120518
eight_tasks,all,atom_occlusion,ig,8,5000,7,1,0,0.0003730952388689,-0.0037062413709268,0.0035754212534672,-0.1360215134049734,-0.1739749718160178,-0.0904070294368181,0.0989728392889084,0.0559384363842218,0.144099720458304,0.0868624350548947,0.0506011454373314,0.1251547006573588,0.0,0.0,0.0,0.1360215134049735,0.0904070294368181,0.1739749718160178
