family,task,method,outcome,n_cells,pearson_r,spearman_rho,mean_absolute_error,median_absolute_error,signed_bias_subset_minus_full,max_absolute_error
bxaic,B,gradinput,risk,6,,,0.002385321100917503,0.002385321100917503,-0.002385321100917503,0.002385321100917503
bxaic,B,gradinput,atom_fraction,6,,,0.00018498176587972148,0.00018498176587972148,0.00018498176587972148,0.00018498176587972148
bxaic,B,gradinput,precision,6,,,0.0008256880733945593,0.0008256880733945593,-0.0008256880733945593,0.0008256880733945593
bxaic,B,gradinput,iou,6,,,0.0015596330275230441,0.0015596330275230441,0.0015596330275230441,0.0015596330275230441
bxaic,B,gradinput,selected_grid_fraction,6,,,0.0,0.0,0.0,0.0
bxaic,B,ig,risk,6,,,0.002385321100917503,0.002385321100917503,-0.002385321100917503,0.002385321100917503
bxaic,B,ig,atom_fraction,6,,,0.00018498176587972148,0.00018498176587972148,0.00018498176587972148,0.00018498176587972148
bxaic,B,ig,precision,6,,,0.0008256880733945593,0.0008256880733945593,-0.0008256880733945593,0.0008256880733945593
bxaic,B,ig,iou,6,,,0.0015596330275230441,0.0015596330275230441,0.0015596330275230441,0.0015596330275230441
bxaic,B,ig,selected_grid_fraction,6,,,0.0,0.0,0.0,0.0
bxaic,P,gradinput,risk,6,,,0.048780426562189505,0.047735494482774664,-0.048780426562189505,0.05087029072101918
bxaic,P,gradinput,atom_fraction,6,,,0.008658143408199183,0.008658143408199183,0.008658143408199183,0.008658143408199183
bxaic,P,gradinput,precision,6,,,0.15016196447230923,0.15120689655172403,-0.15016196447230923,0.15120689655172403
bxaic,P,gradinput,iou,6,,,0.10242646998953475,0.10347140206894956,-0.10242646998953475,0.10347140206894956
bxaic,P,gradinput,selected_grid_fraction,6,,,0.009999999999999997,0.009999999999999998,0.009999999999999997,0.009999999999999998
bxaic,P,ig,risk,6,,,0.04825796052248208,0.047735494482774664,-0.04825796052248208,0.05087029072101918
bxaic,P,ig,atom_fraction,6,,,0.008658143408199183,0.008658143408199183,0.008658143408199183,0.008658143408199183
bxaic,P,ig,precision,6,,,0.15068443051201663,0.15120689655172403,-0.15068443051201663,0.15120689655172403
bxaic,P,ig,iou,6,,,0.10294893602924216,0.10347140206894956,-0.10294893602924216,0.10347140206894956
bxaic,P,ig,selected_grid_fraction,6,,,0.009999999999999997,0.009999999999999998,0.009999999999999997,0.009999999999999998
bxaic,PAINS,gradinput,risk,6,-0.25680339400915664,-0.48571428571428577,0.012614124895736658,0.010678563402357781,0.008605158747526003,0.03118865127246427
bxaic,PAINS,gradinput,atom_fraction,6,0.9881911722305403,0.9404032585917882,0.00309049655170344,0.0016282389636746442,-0.0010048800515841856,0.008539274143052444
bxaic,PAINS,gradinput,precision,6,0.9202725429324069,0.7714285714285715,0.027026553281824184,0.027112201307879752,-0.027026553281824184,0.029926734093422447
bxaic,PAINS,gradinput,iou,6,0.6529953163793492,0.2571428571428572,0.02633031240256643,0.02628149233515467,-0.02633031240256643,0.0313541448630526
bxaic,PAINS,gradinput,selected_grid_fraction,6,0.9777598802784837,0.9404032585917882,0.003333333333333355,5.551115123125783e-17,-1.850371707708594e-17,0.010000000000000009
bxaic,PAINS,ig,risk,6,-0.08294528219794978,-0.028571428571428574,0.013877321129249316,0.01322151066265826,-0.013877321129249316,0.02647561610514282
bxaic,PAINS,ig,atom_fraction,6,0.9800113225839099,0.9856107606091623,0.018158264645099436,0.01647497293152622,0.018158264645099436,0.03102567206056528
bxaic,PAINS,ig,precision,6,0.9980515053843713,1.0,0.028344236181841138,0.027597138297433876,-0.028344236181841138,0.03319054893669088
bxaic,PAINS,ig,iou,6,0.9951272061049576,1.0,0.02370309443922018,0.023111092833108443,-0.02370309443922018,0.02805888095395398
bxaic,PAINS,ig,selected_grid_fraction,6,0.981987769311973,0.9856107606091623,0.01833333333333333,0.015000000000000013,0.01833333333333333,0.030000000000000027
bxaic,X,gradinput,risk,6,-0.49269273517178547,-0.1796053020267749,0.040477286363005766,0.04283477889147633,-0.040477286363005766,0.045481668972810085
bxaic,X,gradinput,atom_fraction,6,,,0.009387122805790689,0.010981813408288174,0.009387122805790689,0.010981813408288174
bxaic,X,gradinput,precision,6,0.9824337202534196,0.8980265101338745,0.037197213688088926,0.04164599098830135,-0.030134654905296248,0.042177528904672745
bxaic,X,gradinput,iou,6,0.7219662886968983,0.8798826901281199,0.008070094855796517,0.0008239640310866436,0.008070094855796517,0.04384724459334677
bxaic,X,gradinput,selected_grid_fraction,6,,,0.00833333333333333,0.009999999999999995,0.00833333333333333,0.009999999999999995
bxaic,X,ig,risk,6,,,0.04286430877571917,0.04283477889147633,-0.04286430877571917,0.043011958196933445
bxaic,X,ig,atom_fraction,6,,,0.010981813408288174,0.010981813408288174,0.010981813408288174,0.010981813408288174
bxaic,X,ig,precision,6,,,0.04211846913618703,0.042177528904672745,-0.04211846913618703,0.042177528904672745
bxaic,X,ig,iou,6,,,0.0006867798710463539,0.0006572499868034987,0.0006867798710463539,0.00083442929226063
bxaic,X,ig,selected_grid_fraction,6,,,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995
bxaic,indole,gradinput,risk,6,-0.24546753574966018,-0.08571428571428573,0.013647276376928079,0.00505134220889502,-0.012458372988512004,0.0498851683719037
bxaic,indole,gradinput,atom_fraction,6,0.9964044944947718,1.0,0.005728703470164446,0.0004579031086850982,0.005433377367206356,0.017759571102414995
bxaic,indole,gradinput,precision,6,0.9911954157203575,0.8285714285714287,0.008929846745788728,0.009940086981864604,-0.008929846745788728,0.01579051955082017
bxaic,indole,gradinput,iou,6,0.9831046135696976,0.8285714285714287,0.008303855664831624,0.008468789477552668,-0.007075382981609535,0.014100835124221944
bxaic,indole,gradinput,selected_grid_fraction,6,0.9964937517477221,1.0,0.004999999999999986,0.0,0.004999999999999986,0.019999999999999907
bxaic,indole,ig,risk,6,0.3161990727430518,0.3142857142857143,0.01037356785033202,0.006271523699785828,-0.009384147363528432,0.028934921031564323
bxaic,indole,ig,atom_fraction,6,0.8797340497076855,0.6571428571428573,0.02965865291229684,0.024380089180085773,0.029352846945756034,0.09728556549497314
bxaic,indole,ig,precision,6,0.9435776395078236,0.6571428571428573,0.027408122884482772,0.022960444133570984,-0.027408122884482772,0.05294733456503248
bxaic,indole,ig,iou,6,0.9578536834006817,0.8285714285714287,0.02422436729225466,0.020683707042584987,-0.02422436729225466,0.04450408515450205
bxaic,indole,ig,selected_grid_fraction,6,0.8731720793171994,0.6571428571428573,0.02999999999999999,0.024999999999999967,0.02999999999999999,0.09999999999999998
bxaic,rings-count,gradinput,risk,6,-0.03538397888519811,-0.2,0.0076501245022487716,0.00796839850726068,-0.00447499913018991,0.016662351943881104
bxaic,rings-count,gradinput,atom_fraction,6,0.8865104705641237,0.8197822947299412,0.003225605720397077,0.000815042734858662,0.002400413237955571,0.010943249772266461
bxaic,rings-count,gradinput,precision,6,0.8971427428080597,0.5428571428571429,0.00253957447676458,0.002840198351102663,0.00026831205462479746,0.004117375933423095
bxaic,rings-count,gradinput,iou,6,0.6077222890407985,0.48571428571428577,0.005089808486754943,0.006032424210845544,0.0022754830123114154,0.008595607744092293
bxaic,rings-count,gradinput,selected_grid_fraction,6,0.8696263565463045,0.8197822947299412,0.003333333333333336,0.0,0.003333333333333336,0.010000000000000009
bxaic,rings-count,ig,risk,6,0.012294475369123786,-0.08571428571428573,0.010593595368190266,0.01141738860421259,-0.010593595368190266,0.018831450299914593
bxaic,rings-count,ig,atom_fraction,6,0.9380462206630217,0.9534625892455922,0.008091102601499423,0.007937815610291499,0.007822433262321923,0.012965084634044777
bxaic,rings-count,ig,precision,6,0.9871241349685531,1.0,0.0012778326861951166,0.0003065387305195566,0.00034818940709716956,0.004562686321936571
bxaic,rings-count,ig,iou,6,0.920785744951028,0.8285714285714287,0.004745910947681509,0.004591802965640879,0.0044431254128344255,0.012085261838604922
bxaic,rings-count,ig,selected_grid_fraction,6,0.9626509401538988,0.9534625892455922,0.00833333333333334,0.010000000000000009,0.00833333333333334,0.010000000000000009
bxaic,rings-max,gradinput,risk,6,0.7608356930947927,0.5428571428571429,0.011789140360133584,0.011212509940454606,-0.010499300167170359,0.023169965176615036
bxaic,rings-max,gradinput,atom_fraction,6,0.949560089477093,0.9379580992210835,0.007398498585337088,0.009461034647009203,0.007236643809176491,0.011915912545292784
bxaic,rings-max,gradinput,precision,6,0.835462094696964,0.8857142857142858,0.005517728784694457,0.0054531508832293685,0.005517728784694457,0.007933512898581463
bxaic,rings-max,gradinput,iou,6,0.6962585608914938,0.6571428571428573,0.006008215881580024,0.006457418100006634,0.006008215881580024,0.008717721265676326
bxaic,rings-max,gradinput,selected_grid_fraction,6,0.9543039586669995,0.9379580992210835,0.006666666666666654,0.009999999999999953,0.006666666666666654,0.010000000000000009
bxaic,rings-max,ig,risk,6,0.10126607262600512,-0.08571428571428573,0.012090823736145341,0.008932555731517633,-0.005359387501223244,0.03171844278296514
bxaic,rings-max,ig,atom_fraction,6,0.9563349345199593,0.8956221510397981,0.006443930103973687,0.005119762105421977,0.005806044584443208,0.018629552225067347
bxaic,rings-max,ig,precision,6,0.9444969700973531,1.0,0.005043945347556755,0.0049539902028883365,0.005043945347556755,0.008841303175499804
bxaic,rings-max,ig,iou,6,0.8773608361949768,0.942857142857143,0.005356480005030223,0.005127586919050353,0.005356480005030223,0.011098152117826665
bxaic,rings-max,ig,selected_grid_fraction,6,0.9576800210756267,0.8956221510397981,0.006666666666666636,0.004999999999999949,0.006666666666666636,0.020000000000000018
google,benzene,gradinput,risk,6,0.5761378672157819,0.48571428571428577,0.02343238112451082,0.017245149911816658,-0.021156405413349916,0.07296088747477639
google,benzene,gradinput,atom_fraction,6,0.9989352158171577,0.9856107606091623,0.012655439009479547,0.008503446874617127,0.012630112576689842,0.0340354491077991
google,benzene,gradinput,precision,6,0.9996932083089711,1.0,0.009712841057033036,0.009833272134875448,-0.006724950442147641,0.02135139035139022
google,benzene,gradinput,iou,6,0.9989213296043138,1.0,0.008567333692981174,0.009291459594284679,-0.001449520418543876,0.018434887779572917
google,benzene,gradinput,selected_grid_fraction,6,0.9997668925433594,0.9856107606091623,0.009999999999999972,0.010000000000000009,0.009999999999999972,0.019999999999999907
google,benzene,ig,risk,6,0.47634733430152554,0.6571428571428573,0.012982960142682338,0.008542834501167787,-0.006471849826016523,0.03289153637764748
google,benzene,ig,atom_fraction,6,0.9962050540091547,0.9856107606091624,0.00862537263873541,0.0010480485417137253,0.0074875725327130105,0.0256267264081661
google,benzene,ig,precision,6,0.9994322699163601,1.0,0.010850072883935117,0.01051239423945391,-0.010850072883935117,0.01703216664327767
google,benzene,ig,iou,6,0.9957407912916046,0.942857142857143,0.009772893618454423,0.008991754146687486,-0.008451511929124708,0.020530123904478947
google,benzene,ig,selected_grid_fraction,6,0.997453020841942,0.9856107606091624,0.006666666666666682,2.7755575615628914e-17,0.006666666666666664,0.020000000000000018
google,logic10,gradinput,risk,6,0.4195527499068184,0.4285714285714286,0.006276659352552234,0.002902412319823071,-0.005946089624661091,0.025458791208791257
google,logic10,gradinput,atom_fraction,6,0.9980043891633578,0.9856107606091623,0.0025638050397265855,0.000248905648376041,0.0023397844378625168,0.013802367191976028
google,logic10,gradinput,precision,6,0.9992333370514753,0.942857142857143,0.0037127586213350494,0.0033778847525391398,0.0037127586213350494,0.007437884440980258
google,logic10,gradinput,iou,6,0.9969537846241329,0.7714285714285715,0.004693116700434763,0.0037303489399551637,0.004693116700434763,0.011837409846708391
google,logic10,gradinput,selected_grid_fraction,6,0.9989534905124605,0.9856107606091623,0.001666666666666668,0.0,0.001666666666666668,0.010000000000000009
google,logic10,ig,risk,6,0.8534324991870185,0.7714285714285715,0.002404023060273111,0.0008992369237905834,-0.0017532690523762624,0.009841225738547218
google,logic10,ig,atom_fraction,6,0.9992404324096832,0.9856107606091623,0.002195998561067706,0.0004052958683473107,0.0017569299878675466,0.011393873479845773
