method,score_origin,q,risk,mean_atom_fraction,precision,iou,scope
atom_occlusion,P20_frozen_cache,0,1.0,0.0,0.0,0.0,all
atom_occlusion,P20_frozen_cache,1,0.6902014785176672,0.03893550928031149,0.815011906384978,0.3081226530494371,all
atom_occlusion,P20_frozen_cache,2,0.6850468704707514,0.03999107566494566,0.80692111031866,0.3060610831028415,all
atom_occlusion,P20_frozen_cache,3,0.6689853443546497,0.044834826923837834,0.7752316000975576,0.29205325552197325,all
atom_occlusion,P20_frozen_cache,4,0.6503322661928738,0.05252287762263072,0.7414159312045118,0.27854430267863245,all
atom_occlusion,P20_frozen_cache,5,0.6075394467182131,0.07115131445476044,0.6981820476802021,0.2902464277303616,all
atom_occlusion,P20_frozen_cache,6,0.5880787873479352,0.08167365641745356,0.6735432542275275,0.2885676423385916,all
atom_occlusion,P20_frozen_cache,7,0.5763973479653339,0.0888658396146435,0.6581189352957781,0.2851715836403411,all
atom_occlusion,P20_frozen_cache,8,0.5680008376213836,0.09495907298355587,0.6451484912008724,0.28121953929029875,all
atom_occlusion,P20_frozen_cache,9,0.542950241111733,0.10864059190507999,0.6285557684475601,0.2909226811603927,all
atom_occlusion,P20_frozen_cache,10,0.5250698216548277,0.1191289280286186,0.6143607138040849,0.2965842867397553,all
atom_occlusion,P20_frozen_cache,11,0.5119325717362153,0.1285261851138177,0.6029042653520521,0.29874593767107255,all
atom_occlusion,P20_frozen_cache,12,0.5032629817561026,0.13629203869143158,0.5938465809235152,0.2984304955179633,all
atom_occlusion,P20_frozen_cache,13,0.484922627948875,0.14826615415802416,0.5841257544254811,0.30618226718384456,all
atom_occlusion,P20_frozen_cache,14,0.467893584783597,0.1602264540268189,0.572941779510567,0.3114860814071748,all
atom_occlusion,P20_frozen_cache,15,0.4582035636534343,0.1681910991607722,0.5661949655249395,0.31364781791084295,all
atom_occlusion,P20_frozen_cache,16,0.4474062481261349,0.17739304783364707,0.5593676911146782,0.3167800449065897,all
atom_occlusion,P20_frozen_cache,17,0.4302987644524634,0.1894353779823876,0.5522297015654131,0.3248352249983901,all
atom_occlusion,P20_frozen_cache,18,0.4187337228415172,0.19888468766031633,0.5463220737899562,0.3287333302488524,all
atom_occlusion,P20_frozen_cache,19,0.408178390683142,0.20847964993186308,0.5394288658803393,0.3309940014294515,all
atom_occlusion,P20_frozen_cache,20,0.40089310100582803,0.21459777377101377,0.5360104743806828,0.3335982819441075,all
atom_occlusion,P20_frozen_cache,21,0.38168820737084147,0.22983864637837426,0.5281680716557831,0.341840961787746,all
atom_occlusion,P20_frozen_cache,22,0.3697716712495058,0.2399713413255066,0.5231658676792978,0.3462112082684477,all
atom_occlusion,P20_frozen_cache,23,0.35958674900761206,0.2493677166650029,0.5182511918360341,0.3492216590303381,all
atom_occlusion,P20_frozen_cache,24,0.3510438744214877,0.2581977047214623,0.5138431337001063,0.3514931066313672,all
atom_occlusion,P20_frozen_cache,25,0.34418777768998376,0.26450400426389203,0.5103794565130813,0.3530227677013791,all
atom_occlusion,P20_frozen_cache,26,0.32972017813820176,0.27835512505790844,0.5043397178188097,0.3571606962378036,all
atom_occlusion,P20_frozen_cache,27,0.31974044676345464,0.28837932653799997,0.4997322178611245,0.35983424345062426,all
atom_occlusion,P20_frozen_cache,28,0.3076914801659316,0.3008229854464812,0.49295996634298156,0.3612691484107073,all
atom_occlusion,P20_frozen_cache,29,0.3010585093132026,0.3082971561802614,0.48962356647275934,0.3619368453087483,all
atom_occlusion,P20_frozen_cache,30,0.29329039569479237,0.3173808777177288,0.48536919757393693,0.3629643052366921,all
atom_occlusion,P20_frozen_cache,31,0.28382925036520396,0.3286002303944226,0.4799633087675447,0.363789846262069,all
atom_occlusion,P20_frozen_cache,32,0.275399582064454,0.33925999046830907,0.4746892829986277,0.36382022272316905,all
atom_occlusion,P20_frozen_cache,33,0.2691743687459987,0.34670329866357824,0.4712799489766404,0.36392107174353006,all
atom_occlusion,P20_frozen_cache,34,0.25857617049083087,0.35949862004981753,0.46588761891370356,0.3650850126680799,all
atom_occlusion,P20_frozen_cache,35,0.25016012754678074,0.3708167592768126,0.46106487654744815,0.36503227954750056,all
atom_occlusion,P20_frozen_cache,36,0.24618918969396048,0.3770829257526961,0.458728437229214,0.36489689815463644,all
atom_occlusion,P20_frozen_cache,37,0.23711332791829748,0.3896106875764167,0.45257548828617084,0.36413469273527127,all
atom_occlusion,P20_frozen_cache,38,0.2305548850020408,0.3993984527772075,0.44879663980776735,0.3638736528322725,all
atom_occlusion,P20_frozen_cache,39,0.22451572781899892,0.4082696190713175,0.44556047901667634,0.36406308805064624,all
atom_occlusion,P20_frozen_cache,40,0.22035773142286527,0.4145591984157344,0.4428247139300259,0.36350283569596487,all
atom_occlusion,P20_frozen_cache,41,0.21010432398243584,0.4303898690599578,0.4361949984790828,0.3622696948869201,all
atom_occlusion,P20_frozen_cache,42,0.20410091986438808,0.4398554158880383,0.4326894264407272,0.3618107224381261,all
atom_occlusion,P20_frozen_cache,43,0.1981582778936324,0.450050795678216,0.4288352477910335,0.36119508625988284,all
atom_occlusion,P20_frozen_cache,44,0.1936261354243724,0.45819079115567507,0.4255632285074324,0.36008621030043886,all
atom_occlusion,P20_frozen_cache,45,0.18819637999943983,0.4671690544551717,0.4223582757585117,0.35946252538278495,all
atom_occlusion,P20_frozen_cache,46,0.17974957970983144,0.48145240830700936,0.41681052167768856,0.3579646663309839,all
atom_occlusion,P20_frozen_cache,47,0.17658155802667655,0.487524496280473,0.41523848705383914,0.35769019419893444,all
