family,task,test_auroc,test_auprc,test_weighted_f1,test_risk,mean_atom_fraction,median_atom_fraction,precision,iou,tie_inflation,oracle_mean_atom_fraction,oracle_excess_mean_atom_fraction,n_seeds
bxaic,B,1.0,1.0,0.9999334688254352,0.012232415902140673,0.0396344452621945,0.037037037037037035,0.9898063200815495,0.9775739041794087,0.0296344452621945,0.0396344452621945,0.0,3
bxaic,P,0.9999994009790877,0.9999959372780739,0.9997332796546878,0.0968331200628822,0.037113019995980136,0.03290222029499192,0.9810170672239638,0.8841839471610816,0.023779686662646796,0.037113019995980136,0.0,3
bxaic,PAINS,0.9870113725504416,0.976446457631072,0.9572061651218994,0.09554463010760844,0.8516703415918844,0.8494111623143882,0.3631594525469181,0.34911590484857885,0.02167034159188431,0.34911652592032855,0.5025538156715558,3
bxaic,X,0.9998460702221461,0.9999243075289641,0.9996666191571828,0.06835704161182546,0.06530781700629369,0.06060606060606061,0.805560138440188,0.7372030968283626,0.02530781700629368,0.06530781700629369,0.0,3
bxaic,indole,0.999851991659773,0.9995598159453221,0.997667467530082,0.09162088646613105,0.9715473173920176,0.9678932178932179,0.2976059830435556,0.29077337976859824,0.014880650725350946,0.31593745105846954,0.655609866333548,3
bxaic,rings-count,0.9929243661164829,0.982624264711208,0.8690171563549072,0.09664409625332027,0.9059532871507944,0.9049111807732496,0.6448365574773364,0.6102444601812383,0.01928662048412764,0.6186621433738088,0.2872911437769856,3
bxaic,rings-max,0.9791277075175167,0.8639700086627139,0.936270613061525,0.08904837021829025,0.8962619527064105,0.892918192918193,0.2745849613288594,0.2672986678552581,0.012928619373077202,0.2839592113788643,0.6123027413275461,3
google,benzene,0.9998049998049998,0.9996389801320459,0.9974999853748853,0.10119544147321925,0.3760788207584422,0.37121212121212127,0.8399315982649315,0.7390940034458553,0.02941215409177547,0.3760788207584422,0.0,3
google,logic10,0.9759595349224871,0.8057658180373312,0.7314459695115986,0.09410313149152434,0.7304429911516701,0.7261904761904763,0.6120131320813402,0.5753473456076701,0.02710965781833684,0.4333340864777784,0.2971089046738918,3
google,logic7,0.9796684922211991,0.7150163977812066,0.9418446266639752,0.1040611279972982,0.7599482720704183,0.7551515151515152,0.23564397449352328,0.22940012778240196,0.029948272070418436,0.20452753687700542,0.555420735193413,3
google,logic8,0.9892661809422264,0.9410185865207036,0.9243975358044705,0.08841344344061734,0.6196530390974279,0.6133333333333333,0.46888001505736904,0.44468464272533376,0.026319705764094512,0.29281950327047723,0.32683353582695057,3
