family,test_auroc,test_auprc,test_weighted_f1,test_risk,mean_atom_fraction,median_atom_fraction,precision,iou,tie_inflation,oracle_mean_atom_fraction,oracle_excess_mean_atom_fraction,n_tasks
bxaic,0.9941087012922069,0.9746458273939077,0.96564210995796,0.07861150866031405,0.5382125973007964,0.5350970102624483,0.6223672114489102,0.588056194403218,0.021069740157939297,0.2442472305708485,0.2939653667299479,7
google,0.9861748019727281,0.8653599456178218,0.8987970293387324,0.09694328610066479,0.6215307807694896,0.6164718614718615,0.539117179974291,0.4971315298903153,0.028197447436156313,0.3266899868459258,0.2948407939235638,4
